Name,Rating,Rating Count,Address,Verified
"Super Aircondition in Kandivali East, Mumbai",3.7,31,"Panvati CHS, Akurli Road, Kandivali East, Mumbai - 400101, Mahada Road No 2",Not Verified
"Om Refrigeration 2 in Kalyan West, Mumbai",4.5,23,"Chattri Bunglow Road, Kalyan West, Kalyan - 421301, Opp Sandeep Hotel",Not Verified
"Solve Services in Jogeshwari West, Mumbai",3.7,45,"22, Gavdevi Chs, Building No 1, New Link Road,, Jogeshwari West, Mumbai - 400102, Opposite Dheeraj Gaurav Heights",Not Verified
"Snow Sales & Services in Bandra West, Mumbai",4.1,131,"Shop No 7,God Gift Tower, M S Road Off S V Road, Bandra West, Mumbai - 400050, Opposite Lucky Hotel",Not Verified
"S S Cooling System in Prabhadevi, Mumbai",4.7,3,"Shop No 7 Ground Floor God Gift Tower, M S Road, Prabhadevi, Mumbai - 400025",Not Verified
"Unique Cooling Solution in Nalasopara East, Mumbai",5.0,2,"Shop No.6, Shiv Plaza, Pragati Nagar, Nalasopara East, Palghar - 401209, Near Pragati Nagar Police Chowky",Not Verified
"Fridge Cool Sevices in Borivali East, Mumbai",4.1,68,"1/B/106, Vitthal Nagar Building, Borivali East, Mumbai - 400066, Devpada, Near Vitthal Mandir",Verified
"Wefix Enterprises in Mira Road, Mumbai",4.9,176,"Mira Dham Complex, Mira Road, Thane - 401107, Behind Hanuman Mandir, Mira Gaon",Verified
"Prime Enterprise in Mira Road, Mumbai",4.2,442,"Shop No 13, Ground Floor, A1 Building, Shanti Vihar Complex, Station Road, Mira Road, Thane - 401107, Near Railway Station",Verified
"Tammana AIR Cool in Malad East, Mumbai",3.5,2,"Opposite Western Express Highway, Shop No 10mbewadi, Near Gaon Devi Temple, Pushpa Park, Malad East, Mumbai - 400097",Not Verified
"AIR Cool System in Chembur, Mumbai",4.4,33,"Behind Subhiksha Khandhriya Mansion, Chembur, Mumbai - 400071",Not Verified
"Unique Cooling Solution in Nalasopara East, Mumbai",5.0,2,"Shop No.6, Shiv Plaza, Pragati Nagar, Nalasopara East, Palghar - 401209, Near Pragati Nagar Police Chowky",Not Verified
"Om Refrigeration 2 in Kalyan West, Mumbai",4.5,23,"Chattri Bunglow Road, Kalyan West, Kalyan - 421301, Opp Sandeep Hotel",Not Verified
"S S Cooling System in Prabhadevi, Mumbai",4.7,3,"Shop No 7 Ground Floor God Gift Tower, M S Road, Prabhadevi, Mumbai - 400025",Not Verified
"AIR Cool Engineers in Malad West, Mumbai",4.5,204,"Shop No 2, Marve Raod, Malad West, Mumbai - 400095, Jankalyan Nagar",Not Verified
"Fridge Cool Sevices in Tulsiwadi, Mumbai",4.0,119,"Om Building, B 2 B, Room No 814,M P Mills Compaund, M P Mills Compaund, Tulsiwadi, Mumbai - 400034, Maharshtra Nagar",Verified
"AIR Cool Services in Ghatkopar East, Mumbai",4.7,5,"Satyam Shopping Centre, M G Road, Ghatkopar East, Mumbai - 400077",Not Verified
"Fridge Cool Sevices in Borivali East, Mumbai",4.1,68,"1/B/106, Vitthal Nagar Building, Borivali East, Mumbai - 400066, Devpada, Near Vitthal Mandir",Verified
"Wefix Enterprises in Mira Road, Mumbai",4.9,176,"Mira Dham Complex, Mira Road, Thane - 401107, Behind Hanuman Mandir, Mira Gaon",Verified
"Delta Engineering in Jari Mari-sakinaka, Mumbai",3.9,129,"Room No 3, Salimuddin Chawl, K A Road, Jari Mari-sakinaka, Mumbai - 400072, Near Arbi Mohalla",Verified
"I Cool Services in Virar East, Mumbai",3.8,90,"Shop No 1, Ground Floor, Sai Sagar Swapna Sagar CHSL, Phoolpada Road, Virar East, Palghar - 401305, R J Nagar",Verified
"AIR Cool in Antop Hill, Mumbai",3.8,108,"Shop No 9, S M Road, Antop Hill, Mumbai - 400037, Near Dosti Acres",Not Verified
"S S Cool Repairs & Services in Asalfa-ghatkopar West, Mumbai",3.0,12,"Himalaya Society, Asalfa-ghatkopar West, Mumbai - 400084, Near Asalfa Metro Station",Not Verified
"Naaz AIR Condition in Andheri East, Mumbai",3.8,26,"Road No 12, Midc, Andheri East, Mumbai - 400093, Opp Safron Spice Hotel",Verified
"Quick Cool Services in Goregaon West, Mumbai",4.8,351,"Shop No 57, Link Road, Goregaon West, Mumbai - 400104, Bangur Nagar, Near Inorbit Mall",Verified
"Aarvi Aircool Services in Thane West, Mumbai",4.9,5,"Kothimire House, Balkum Pada No 2, Thane West, Thane - 400608, Om Sai Chowk",Not Verified
"Mac Engineers in Andheri West, Mumbai",4.2,136,"Shop No D/5, Plot No 63, Yari Road, Andheri West, Mumbai - 400061, Near D Mart",Verified
"N C Service Center in Mira Road, Mumbai",4.5,35,"Shop No.4 Miral Apt Govind Nagar, Mira Bhayander Road, Mira Road, Thane - 401107, Nr Sai Petrol Pump",Verified
"Bombay Cool in Vile Parle East, Mumbai",3.5,82,"Padris Wadi, Petker Road, Vile Parle East, Mumbai - 400057",Verified
"Vijay Appliances in Bandra East, Mumbai",3.8,20,"Mitalal Neharu Nagar CHs, Building No 1 B K Complex, Bandra East, Mumbai - 400051",Not Verified
"Cool Climate in Thane West, Mumbai",3.5,2,"Shop No.03 , Runwal Tower, Runwal Nagar, Thane West, Thane - 400601, Opp Viviana Mall",Not Verified
"Noman Cool in Taloja, Mumbai",4.4,144,"Shop No. 07, Green View Chs,, Sector 02, Plot No. 2 & 3,, Taloja, Navi Mumbai - 410208, Near Railway Station",Not Verified
"Zip AIR Condition in Santacruz East, Mumbai",3.7,157,"House No 132, John Rodrigous Chawl, Santacruz East, Mumbai - 400029, P & T Colony, Kalina Village",Verified
"Quick Cool in Prabhat Colony-santacruz East, Mumbai",3.7,14,"Jaiswar House, Room No 60, Prabhat Colony-santacruz East, Mumbai - 400055, Near Seva Nagar",Not Verified
"Om Refrigeration in Ambernath, Mumbai",4.6,304,"Shop No. 1941, Datta Kuteer, B-Cabin Road, Ambernath, Thane - 421501, Opposite Bharat Gas",Not Verified
"AIR Floor System in Goregaon West, Mumbai",3.4,124,"Z-153, Kranti Building, Link Road, Goregaon West, Mumbai - 400104, Opposite Goregaon Bus Depot, Bhagat Singh Nagar No 3",Not Verified
"Noman Cool Services in Nerul, Mumbai",3.9,618,"Shop No 5, Plot No C, Satnam Niwas, Sector 20, Nerul, Navi Mumbai - 400706, Near Gaydevi Mandir",Not Verified
"Ss Cool Services in Powai, Mumbai",3.6,15,"Shop No 5,Bhind Gateway Plaza Near Hiranadani Plaza, Hiranadani Garden, Powai, Mumbai - 400076, Near Hiranandani",Not Verified
"S Cool Service in Mumbai Central, Mumbai",5.0,3,"3/3, Floor Grd - 58 , Bhorini Chawl,, 5th Lane Kamatipura , Nagpada, Mumbai Central, Mumbai - 400008",Not Verified
"A.K Cooling System in Borivali West, Mumbai",5.0,3,"Shop No 10, Jupiter Building, Borivali West, Mumbai - 400092, Opp Joggers Park",Not Verified
"Fridge Cool Sevices in Tulsiwadi, Mumbai",4.0,119,"Om Building, B 2 B, Room No 814,M P Mills Compaund, M P Mills Compaund, Tulsiwadi, Mumbai - 400034, Maharshtra Nagar",Verified
"Cool Climate in Thane West, Mumbai",3.5,2,"Shop No.03 , Runwal Tower, Runwal Nagar, Thane West, Thane - 400601, Opp Viviana Mall",Not Verified
"AIR Floor System in Goregaon West, Mumbai",3.4,124,"Z-153, Kranti Building, Link Road, Goregaon West, Mumbai - 400104, Opposite Goregaon Bus Depot, Bhagat Singh Nagar No 3",Not Verified
"Pintu Refrigeration in Vasai East, Mumbai",3.4,109,"Shop No-23,Girnar Heights, Vasai Link Road, Vasai East, Palghar - 401208, Near Dmart",Not Verified
"Quick Cool in Prabhat Colony-santacruz East, Mumbai",3.7,14,"Jaiswar House, Room No 60, Prabhat Colony-santacruz East, Mumbai - 400055, Near Seva Nagar",Not Verified
