Name,Rating,Rating Count,Address,Verified
"Reliance Digital Retail Ltd in Vashi Sector 30a, Mumbai",3.9,7551,"Plot No 39/4 E, Ground Floor, Maithili Signate, Vashi Sector 30a, Navi Mumbai - 400703, Opposite Vashi Railway Station, Besides BSEL Tech Park",Not Verified
"Goodluck Service Center in Vashi, Mumbai",3.9,1411,"Shop No 6, SAI Prem Building, Vashi, Navi Mumbai - 400703, Sector 14",Not Verified
"Air Cool Refrigeration in Vashi, Mumbai",4.8,82,"Room No 23, Sector 15, Vashi, Navi Mumbai - 400703",Not Verified
"Deepak Cool Services in Vashi, Mumbai",4.8,81,"Shop 02, Market Shopping Center, Sector-6, Vashi, Navi Mumbai - 400703, Near Bank Of Maharashtra",Not Verified
"A to Z Repairs in Sanpada, Mumbai",4.1,62,"Shop No 6, Plot No 98, Shree Ramtanu Mauli, Sector 1, Sanpada, Navi Mumbai - 400703, Near Keshvkunj Building",Not Verified
"Cooling Control Systems in Vashi, Mumbai",3.9,61,"Ganraj Chs.Plot #57/1, Shop #1, Sector 31/A, Vashi, Navi Mumbai - 400703, Datta Mandir Road",Not Verified
"IFB Service Centre in Sanpada, Mumbai",3.8,59,"Shop 6, Mohamad Compound, Sanpada, Navi Mumbai - 400703, Near Sanpada Railway Station",Not Verified
"Noman Cool Services in Nerul, Mumbai",3.9,618,"Shop No 5, Plot No C, Satnam Niwas, Sector 20, Nerul, Navi Mumbai - 400706, Near Gaydevi Mandir",Not Verified
"Summer Cool in Kopar Khairane, Mumbai",5.0,5,"Shop No 12,Manoshri Building, Kopar Khairane, Navi Mumbai - 400709, Near Faam Society",Not Verified
"Gurudev Services in Tagore Nagar-vikhroli East, Mumbai",4.9,11,"Shop No 150, Opp Axis Bank ATM, Tagore Nagar-vikhroli East, Mumbai - 400083, Near Shri Prakash",Not Verified
"Shweta Electricals in Ghatkopar East, Mumbai",4.8,14,"Room No 2032, Vasantrao Naik Marg, Ghatkopar East, Mumbai - 400075, Opposite Durga Mata Mandir, Transist Camp, Ramabai Nagar",Not Verified
"Noman Cool in Taloja, Mumbai",4.4,144,"Shop No. 07, Green View Chs,, Sector 02, Plot No. 2 & 3,, Taloja, Navi Mumbai - 410208, Near Railway Station",Not Verified
