Name,Rating,Rating Count,Address,Verified
"Shri Balaji Furniture Works in Kandivali East, Mumbai",5.0,2,"Box D-6,Jetwan Chawl,, Akurli Road, Kandivali East, Mumbai - 400101, Near Anudatt Vidyalay",Not Verified
"Raj Interior and Glass Solutions in Kalyan East, Mumbai",4.0,12,"Ground Floor  Ganesh Nagar, Mangrul ,Vasara Gaon Haji Malang Rd, Kalyan East, Thane - 421306, Near Bhaal Gurukul School",Verified
"Champak Vaishnaw Carpentery Work in Andheri West, Mumbai",4.1,34,"Apna Bajar Dhake Colony, Four Bunglow, Andheri West, Mumbai - 400053, Near By Petrol Pump",Not Verified
"Rajkumar Interiors in Gandhi Nagar-Thane West, Mumbai",3.3,3,"Nr Santoshi Mata Mandir Bandgi Wali Chawl, Pokhran Road No 2, Gandhi Nagar-Thane West, Thane - 400606",Not Verified
"Aai Swastik Interiors Contractor in Andheri West, Mumbai",3.9,31,"521 Adarsh Nagar, Off Link Road, Andheri West, Mumbai - 400053, Opp Tarapore Tower",Not Verified
"Classic Signage in Ram Mandir, Mumbai",4.2,5,"Gala No 118, Asmi Complex, 1st Floor Building No R1, Ram Mandir, Mumbai - 400102",Verified
"Low Charge Furniture in Ghatkopar West, Mumbai",4.9,7,"Room Number 26, Ajad Nagar Hill Number 04, Ghatkopar West, Mumbai - 400086, Near Jagurti Nagar Metro Station, Lok Sabha Society",Not Verified
"Bombay Furniture in Wadala West, Mumbai",3.5,2,"Room No 15, Antophill, SMD Road, Wadala West, Mumbai - 400031, Barkat Ali Naka",Not Verified
"Indresh Enterprises in Airoli, Mumbai",2.5,2,"Shop No 5, 90 Feet Road, Airoli, Navi Mumbai - 400708, Near By Parsik Bank",Not Verified
"Mahalaxmi Furniture in Kopar Khairane, Mumbai",3.0,1,"Shop No 11, Sankalp CHS, Plot No 01, Sector 23, Kopar Khairane, Navi Mumbai - 400709, Beside Beverly Park",Not Verified
"Mahalaxmi Furniture in Kopar Khairane, Mumbai",3.0,1,"Shop No 11, Sankalp CHS, Plot No 01, Sector 23, Kopar Khairane, Navi Mumbai - 400709, Beside Beverly Park",Not Verified
"Vishwakarma Carpenters in Kandivali East, Mumbai",4.8,5,"Ramakant Vishwakarma Ganesh Chawl, Akurli Road, Kandivali East, Mumbai - 400101, Near Shree Ram School Kranti Nagar",Not Verified
"Uttam Furniture in Andheri West, Mumbai",4.1,9,"Shop No 11, Azad Nagar, J.P Road, Andheri West, Mumbai - 400053",Not Verified
"Jai Mata Di Enterprises in Kalyan East, Mumbai",2.8,8,"Shop Number 13 , Navnath Nivas, Kalyan East, Thane - 421306, Near Patil School",Not Verified
"Ansar Furniture in Behram Baug-Jogeshwari West, Mumbai",5.0,3,"Shop No 1 Thakur Chawl, Kadam Nagar, Behram Baug-Jogeshwari West, Mumbai - 400102",Verified
"Vijaylaxmi Furniture in Goregaon West, Mumbai",3.3,4,"D/26, Bhagat Singh Nagar No 1, Link Road, Goregaon West, Mumbai - 400104, Near Oshiwara Bus Depot",Not Verified
"Bhakti Interior Decorator in Mira Bhayandar Road-Mira Road, Mumbai",4.8,174,"Shop No 04 Shrinath Bhakti Indarlok Phase 1, Indralok Phase 1, Mira Bhayandar Road-Mira Road, Thane - 401107, Opposite Jyoti Park",Not Verified
"Om Prakash Carpentary Works in Nerul, Mumbai",3.0,2,"Nerul Gaon, Sector - 20, Nerul, Navi Mumbai - 400706",Not Verified
"My Furniture Town in Juhu, Mumbai",4.8,16,"Juhu Road, Juhu, Mumbai - 400049, Next to BSNL, Opposite Ajivasan Hall",Verified
