Name,Rating,Rating Count,Address,Verified
"Kailash Carpentry Works in Hiranandani Estate-Thane West, Mumbai",4.2,12,"Dongripada, Ghodbunder Road, Hiranandani Estate-Thane West, Thane - 400607",Not Verified
"Karim Samani in Rabodi-Thane West, Mumbai",5.0,5,"Shreerang Society, Bajuji Nagar, Rabodi-Thane West, Thane - 400601, Near Datta Mandir",Not Verified
"Pravin Furniture in Kalwa, Mumbai",4.2,13,"401,Omkrushna Apartment, Station Road,Bhusar Aali, Kalwa, Thane - 400605, Near Swami Samarth Math",Verified
"Azra Interior Furniture Work in Mumbra, Mumbai",3.5,1,"Back to Hira Residency Khan Compond Shop No -5, New Market Issa No 2 Sarway No 84, Mumbra, Thane - 400612",Not Verified
"Unix Interiors in Near Shiv Sena Shaka, Mumbai",4.8,15,"Om Sai Krupa Chawl No.1 Room No .10, Thane - 400604, Near Shiv Sena Shaka",Not Verified
"Hariom Furniture in Vartak Nagar-Thane West, Mumbai",5.0,1,"Bhim Nagar Sai Nagar Munshi Chawl, Phokron Road No 1, Vartak Nagar-Thane West, Thane - 400606, Near Gandhi Nagar",Not Verified
"Rajkumar Interiors in Gandhi Nagar-Thane West, Mumbai",3.3,3,"Nr Santoshi Mata Mandir Bandgi Wali Chawl, Pokhran Road No 2, Gandhi Nagar-Thane West, Thane - 400606",Not Verified
"Shree Ganesh Furniture and Interior Contractor in Kapurbawdi-Thane West, Mumbai",4.2,5,"Shree Adinath Complex, Near Shivaji Maharaj Garden, Kapurbawdi-Thane West, Thane - 400607, Near Big Bazaar",Not Verified
"Wood Work Interior in Balkum, Mumbai",4.3,5,"Balkum naka, Balkum, Thane - 400608, Near raj residency hotel,hanuman mandir",Not Verified
"S K Aluminium ACP And Glazing Works in Thane West, Mumbai",3.9,5,"Shop No 1, Jai Bhawani Nagar, Manpada, Ghod Bunder Road, Thane West, Thane - 400607, Near Duga Mata Mandir",Not Verified
"Wood Work Interior in Balkum, Mumbai",4.3,5,"Balkum naka, Balkum, Thane - 400608, Near raj residency hotel,hanuman mandir",Not Verified
"D Nikhileshwar Interior in Thane West, Mumbai",4.7,28,"Shop No-1,, Teenhath Naka, Thane West, Thane - 400607",Verified
"Indian Furniture in Uthalsar-Thane West, Mumbai",4.3,3,"G-2, Mataji Trading, Snehal Smruti Building, Snehal Smruti Building, Uthalsar-Thane West, Thane - 400601, Opposite TMC School",Not Verified
"Kanchandra Enterprises in Thane West, Mumbai",5.0,4,"Keni Nagar, Road No. 34 Office No 23, Thane West, Thane - 400604, Shiv Sai Mitra Mandal",Not Verified
"Lifeline Furniture in Hiranandani Estate-thane West, Mumbai",4.9,8,"Shop No 02, Vasant Leela Road, Hiranandani Estate-thane West, Thane - 400607, Near Vijay Annex 30",Not Verified
"Shree Ganesh Furniture in Thane West, Mumbai",3.9,10,"Indira Nagar, Rupa Devi Pada No 2, Wagle Estate, Thane West, Thane - 400604, Opposite Jost Building",Not Verified
"The Glass Universe in Sandoz Baug, Mumbai",4.8,27,"Tarachipada, Kolshet Gaon, Sandoz Baug, Thane - 400607, Near Lodha Amara",Not Verified
"Prince Home Interior in Thane West, Mumbai",4.6,4,"House No 113/22/2,Ramvilas Yadav Chawl, G B Road, Kapurbawadi Nalpada, Thane West, Thane - 400607",Not Verified
"Poonam Ply in Thane West, Mumbai",4.4,34,"Shop No 5,Mahesh Darshan Building, Near Makhmali Talao, Thane West, Thane - 400601, Near Bharat Gas and Makhmali Talao",Verified
"Sahitya Interior in Thane West, Mumbai",3.9,9,"Ambika Nagar NO 2 Road No 29 Near Azad English High School, Thane West, Thane - 400604, Waghale Estate",Not Verified
"Poonam Ply in Thane West, Mumbai",4.4,34,"Shop No 5,Mahesh Darshan Building, Near Makhmali Talao, Thane West, Thane - 400601, Near Bharat Gas and Makhmali Talao",Verified
"Jangid Interior Design in Hariniwas Circle, Mumbai",5.0,6,"Sairaj Appt, Teen Petrol Pump, Thane - 400602, Hariniwas Circle",Verified
"Arya Enterprises in Vasant Vihar-Thane West, Mumbai",4.5,4,"Shop No 14, Mahanagar Palika Sidhachal Complex, Pokhran Road No 2, Vasant Vihar-Thane West, Thane - 400610, Opposite Chouhan Motor Driving School",Not Verified
"Unix Interiors in Near Shiv Sena Shaka, Mumbai",4.8,15,"Om Sai Krupa Chawl No.1 Room No .10, Thane - 400604, Near Shiv Sena Shaka",Not Verified
"Sarita Enterprises in Wagle Industrial Estate-Thane West, Mumbai",2.3,5,"Room No 1, Hindiche Chawl, Parera Nagar, Wagle Industrial Estate-Thane West, Thane - 400604, Lokmanya Nagar, Near Lokamanya Depot",Not Verified
"Om Sai Furniture Works in Thane West, Mumbai",4.1,33,"Gala No 10, Jalaram Vyapari Sankul, Pokhran Road No 2, Thane West, Thane - 400606, Opposite Modi Hyundai Workshop",Verified
"Dial A Fix INDIA in Thane West, Mumbai",5.0,5,"Swastik Palms, 4A-404, Near Aazad Nagar, Thane West, Thane - 400607, Near Brahmand Bus Depot",Verified
"Dreamweaver Services in Thane West, Mumbai",5.0,3,"17/1701, Haware Citi, Thane West, Thane - 400607, Kasarvadavli",Not Verified
"Naksh Furniture & Interior Decorator in Thane West, Mumbai",4.3,2,"Room No 4 , Kamla Bai Chawl, Dhokali Naka, Thane West, Thane - 400607, Kolshet Road",Not Verified
"Ragini Interior Design Home Decorator in Bhaskar Nagar-kalwa, Mumbai",4.7,3,"Room No 559, Church Road, Bhaskar Nagar-kalwa, Thane - 400605, Golai Devi Nagar, Motiram Chowk",Not Verified
"Ragini Interior Design Home Decorator in Bhaskar Nagar-kalwa, Mumbai",4.7,3,"Room No 559, Church Road, Bhaskar Nagar-kalwa, Thane - 400605, Golai Devi Nagar, Motiram Chowk",Not Verified
"S K Accurate Interior Solution Civil Engineering Projects Mumbai Thane West Maharashtra in Kalwa, Mumbai",4.5,3,"Mojes Campound Shop No 4 Opp Big Bazaar, Kapurbawdi, Kalwa, Thane - 400605, Thane West",Not Verified
"P Biswal Civil Plumbing Contractor in Thane East, Mumbai",4.9,35,"Room No 1, Kopri Colony, Thane East, Thane - 400603, Gandhi Nagar, Anand Nagar,Opposite Congress Office",Not Verified
"Janta Furnitures & Interiors in Mulund West, Mumbai",4.7,6,"Shop No 1, Satyam CHS, Dr R P Road, Mulund West, Mumbai - 400080, Opp Old Agrawal BMC Hospital & Mulund Bus Depot",Verified
"Sonali Enterprises in Anand Nagar, Mumbai",4.5,1,"Shop No 9 A Wing, Shri Sadguru Heights, Near Shankar Mandir, Thane - 400605, Anand Nagar",Not Verified
"Furniture World Interior Designer in KASHELI, Mumbai",3.7,5,"CHAMUNDA COMPLEX ,Shop No 3, Old Bhiwandi Bypass Road, KASHELI, Bhiwandi - 421302, Near In Home Furniture",Not Verified
"Technical Service Network in Thane East, Mumbai",4.5,20,"A-1/1,Chakan Industrial Area Phase 2,, Sindekhed Villege, Thane East, Thane - 400603, Near Petrol High Way",Not Verified
"Shree Laxmi Interior Furniture Works in Mulund West, Mumbai",4.9,6,"Room No 05, Building No 3/A, Sai Shraddha Society,Rohidas Nagar, Ganesh Gawade Road, Mulund West, Mumbai - 400080, Behind Lions Club and Purandre School, Rohidas Nagar",Not Verified
"5 Star Fabrication in Mumbra, Mumbai",5.0,10,"Chintamani Nagar,  Shilphata, Kalyanphata Road, Mumbra, Thane - 400612, Near Fountain Hotel",Not Verified
"Shree Samarth Enterprises in Kopri Colony-Thane East, Mumbai",3.9,14,"Sindhi Camp Bldg, No 4, Kopri Colony Station Road, Kopri Colony-Thane East, Thane - 400603, Opp PWD Chawl",Verified
"Sachin Furniture in Kharegaon-Kalwa, Mumbai",4.3,4,"Shop No-1 Herambhai Hights, Old Mumbai Pune Road, Kharegaon-Kalwa, Thane - 400605, Near Rajdeep Hotel",Not Verified
"Ambaji Furniture in Mulund West, Mumbai",4.0,3,"Shop No 241,Ramabaiwadi Pariwas Co-Operative Housing Society, J N Road, Mulund West, Mumbai - 400080, Opposite The World Of Titan",Not Verified
"Apes Services in Mulund West, Mumbai",3.5,2,"Office No. 29,Saidham Shopping Plaza, P K Road, Mulund West, Mumbai - 400080, Saidham",Not Verified
"Good Luck Furniture in Anand Nagar-kasarvadavali, Mumbai",4.3,13,"Shop No.3,, Ghodbunder Road, Anand Nagar-kasarvadavali, Thane - 400615, Opposite D Mart and Near Hill Spring Building",Not Verified
"Vishwakarma Civil Contractor in Airoli, Mumbai",5.0,1,"Flat No 303 Shanti Villa, Sector No 9, Airoli, Navi Mumbai - 400708, Nr Dmart",Not Verified
"Omraj Interiors Project in Airoli, Mumbai",4.3,25,"Room Number 15, Ganesh Nagar , Chinch Pada, Airoli, Navi Mumbai - 400708, Near Hanuman Mandir",Verified
"Mayur Enterprises in Owale, Mumbai",3.5,2,"Ghodbunder Road, Owale, Thane - 400615, Near Royal Garden Hotel",Not Verified
"Sai Satguru Painter in Mulund East, Mumbai",3.5,2,"Room No 18, Vinayak Patra Chawl, Sajjan Wadi, Mithaghar Road, Mulund East, Mumbai - 400081, Near Mcdonalds",Not Verified
"Unique Furniture. in Kasarvadavali, Mumbai",3.7,9,"Shop No 1, Vijay Garden, Ghodbunder Road, Kasarvadavali, Thane - 400615, Near Vijay Vilas",Not Verified
"Varis Furniture Work and Interiors in Mulund West, Mumbai",4.6,72,"Trivedi Tower J N Road Below Indian Bank, Mulund West, Mumbai - 400080",Verified
"Maharashtra Art Emporium in Kasarvadavali, Mumbai",4.9,5,"TMC, Gala No 38, Ghodbunder Road, Kasarvadavali, Thane - 400615, Opposite Muchhala Polytechnic College",Not Verified
"Kundan Furniture in Kavesar, Mumbai",4.8,4,"Shop No 22, 2nd Floor, Kris Korner Commercial Plaza, Kavesar, Swastik Residency Road, Kavesar, Thane - 400615",Verified
"Airoli Helpline in Airoli, Mumbai",4.4,10,"Shop No.  1 Pearl CHS, Sector 4, Airoli, Navi Mumbai - 400708, Near Navratri Hotel",Not Verified
"Azra Interior Furniture Work in Mumbra, Mumbai",3.5,1,"Back to Hira Residency Khan Compond Shop No -5, New Market Issa No 2 Sarway No 84, Mumbra, Thane - 400612",Not Verified
"Spak Construction and Developers Pvt. Ltd. in Sanpada, Mumbai",4.5,6,"Akhurath CHS, C-703, Sector-14,, Sanpada, Navi Mumbai - 400703, Near Moraj Residency",Verified
"R K Furtinure in Bhandup West, Mumbai",4.3,39,"Thakur Bhai Kunti Chawl,Room 2  Farid Nagar, Pratap Nagar Road, Bhandup West, Mumbai - 400078, Near BPS School",Not Verified
"Indresh Enterprises in Airoli, Mumbai",2.5,2,"Shop No 5, 90 Feet Road, Airoli, Navi Mumbai - 400708, Near By Parsik Bank",Not Verified
"Bharat Interior Work in Ghansoli, Mumbai",4.4,30,"Buidling No 319,Shop No 3,Radha Krishna Apartment, Sector 16,Ghansoli Goan, Ghansoli, Navi Mumbai - 400701, Near 40 Plus Maidan",Not Verified
"Ansh Furniture Works in Airoli, Mumbai",3.5,2,"Shop No. 3, Jai Kalika Apartment, Plot No. C 22, Sector 9, Airoli, Navi Mumbai - 400708, Near D Mart Road",Not Verified
"Sharma Furniture in Anand Nagar-Kasarvadavali, Mumbai",2.5,2,"Near Horizon School, Ghodbunder Road, Anand Nagar-Kasarvadavali, Thane - 400615, Opposite Vasant Garden, Near Horizon School",Not Verified
"Om Inter Art in Bhandup West, Mumbai",4.7,3,"2/2 Sai Vihar, Sarju Niwas, Bhandup West, Mumbai - 400078, Near Shiv Sena Office",Not Verified
"Jufio Aluminium & Glass in Bhandup West, Mumbai",4.8,3,"Shop No 4 Arundaya Tower, S P Singh Marg, Bhandup West, Mumbai - 400078, Opposite Kokan Nagar Bus Stop",Not Verified
"Oswal Plywood & Hardware in Bhandup West, Mumbai",4.3,14,"Shop No 3/4 Attar Kaur Mansion Building, L B S Marg, Bhandup West, Mumbai - 400078, Opposite Hotel Pride Near ICICI Bank Opposite Jain Temple",Verified
"A One Electric and Hardware Store in Thakur Village-Kandivali East, Mumbai",4.3,35,"Shop No 52, H Wing, Dattani Park Road, Thakur Village-Kandivali East, Mumbai - 400101, Near Gokul Nagri No 2",Verified
"R H B Enterprise in Kopar Khairane, Mumbai",3.8,2,"Sector No 12,Bonkode Gaon, Kopar Khairane, Navi Mumbai - 400709, City Hospital",Verified
"Pradeep Interior Decor in Kandivali East, Mumbai",4.1,4,"Sriram Tailor  Vadar Pada Road No-2, Akruli Road, Kandivali East, Mumbai - 400101, Near Mahindra &Mahindra",Not Verified
"Ranjeet Raghunath (Carpenter) in Lokhandwala Complex-kandivali East, Mumbai",3.8,4,"Room No. 6, Lokhandwala Complex-kandivali East, Mumbai - 400101, Kranti Nagar, Near Anudatta School",Verified
"Homereviver in Malad East, Mumbai",4.7,18,"G-55,A Wing,Express Zone, Western Express Highway, Malad East, Mumbai - 400097, Opposite Reliance Energy",Verified
"Apna Furniture in Malad East, Mumbai",4.2,5,"Shop No 6, A K Vaidya Marg, Flim City Road, Malad East, Mumbai - 400097, Opposite Heena Gaurav Tower",Verified
"S.R Interior Solution in Borivali East, Mumbai",4.6,7,"Khanderao Dongri Kanghe, CHL Dattapada Road, Borivali East, Mumbai - 400066, Near Balwadi",Verified
"Maintenance & Furniture Works in Kandivali East, Mumbai",3.5,2,"1/11,Nav Tarun Mitra Mandal, Akurli Road, Kandivali East, Mumbai - 400101, Near Hanuman Mandir",Not Verified
"Nakoda Electric Hardware Store in Powai, Mumbai",4.4,83,"Shop No 47, C Wing, Prathmesh Galaxy, Adi Shankaracharya Road, Powai, Mumbai - 400076",Verified
"Nobel Enterprises in Khidkali, Mumbai",4.5,2,"Shop No 6, Omkara 3, Cosmos Meluha, Kalyan Shilphata Road, Khidkali, Thane - 421204, Near Neon Hospital",Not Verified
"Shree Krishna Interiors in Borivali East, Mumbai",2.3,2,"Room No-8, Hanuman Takdi,, Kajupada, Borivali East, Mumbai - 400066, Near Jivdani Building",Not Verified
"Amit Interior Decorator in Borivali East, Mumbai",4.5,1,"Jai Jawan Nagar, Rajendra Nagar, Dattapada Road, Borivali East, Mumbai - 400066, Near Rajendra Nagar Police Station",Not Verified
"Shilpa Interior in Kandivali East, Mumbai",5.0,1,"Building No 15 Room No 11, Road No 1, Kandivali East, Mumbai - 400101",Not Verified
"M R B Interior Wood Workers Contractor in Kandivali East, Mumbai",2.5,2,"Kranti Nagar, Kandivali East, Mumbai - 400101",Not Verified
"Raju Furniture in Kandivali East, Mumbai",4.0,1,"Sangram Chawl, Gokul Nagar, Akruli Road, Kandivali East, Mumbai - 400101, Lokhandwala Foundation School",Not Verified
"M S Enterprises in Kandivali East, Mumbai",4.9,7,"Samata Nagar Singh Estate Road 5, Thakur Village, Kandivali East, Mumbai - 400101, Siddhi Vinayak Hospital",Not Verified
"Dhruv Interior in Kandivali East, Mumbai",5.0,2,"319/Bonanza Industries, Asok Nagar-D-19, Kandivali East, Mumbai - 400101, Times Of India  Near  Highway",Verified
"Amit Interior Decorator in Borivali East, Mumbai",4.5,1,"Jai Jawan Nagar, Rajendra Nagar, Dattapada Road, Borivali East, Mumbai - 400066, Near Rajendra Nagar Police Station",Not Verified
"Nobel Enterprises in Khidkali, Mumbai",4.5,2,"Shop No 6, Omkara 3, Cosmos Meluha, Kalyan Shilphata Road, Khidkali, Thane - 421204, Near Neon Hospital",Not Verified
"Wings Furniture in Hanuman Nagar-kandivali East, Mumbai",5.0,1,"Room No. 1, Jijamata Chawl, Hanuman Nagar-kandivali East, Mumbai - 400101",Not Verified
"Ajay Enterprises in Palava City, Mumbai",2.8,2,"Shop No 001, A Wing Mohan Smruti Apartment, Kalyanshil Road, Palava City, Thane - 421204, Near Katai Toll Naka, Dombivli East",Not Verified
"M R B Interior Wood Workers Contractor in Kandivali East, Mumbai",2.5,2,"Kranti Nagar, Kandivali East, Mumbai - 400101",Not Verified
"Royal Furnitures in Dahisar, Mumbai",3.6,14,"Shop No 4, S V Road, Dahisar, Mumbai - 400068, Near Flyover Ambawadi",Not Verified
"LaxmiKripa Interior in Palava City, Mumbai",5.0,2,"Chandresh Jyoti Building Shop No 20, Casa Rio Road, Palava City, Thane - 421204, Near Greenpark",Not Verified
"Ams Enterprises in Nitie, Mumbai",3.5,2,"Shop No 20, Chand Shahwali Dargah Compound,, Saki Vihar Road, Powai, Nitie, Mumbai - 400087",Not Verified
"Khushbu Furniture Works in Malad East, Mumbai",4.6,11,"Gopi Vishwakarma,Ram Adhari Chawl, Shri Ram Nagar, Malad East, Mumbai - 400097",Not Verified
"Shri Balaji Furniture Works in Kandivali East, Mumbai",5.0,2,"Box D-6,Jetwan Chawl,, Akurli Road, Kandivali East, Mumbai - 400101, Near Anudatt Vidyalay",Not Verified
"Vishwakarma Carpenters in Kandivali East, Mumbai",4.8,5,"Ramakant Vishwakarma Ganesh Chawl, Akurli Road, Kandivali East, Mumbai - 400101, Near Shree Ram School Kranti Nagar",Not Verified
"Shivshakti Interiors & Modular Kitchen in Dombivli East, Mumbai",4.8,5,"Shop No 1, Ayappa Niwas, Manpada Road, Dombivli East, Thane - 421201, Near Ayappa Mandir",Not Verified
"M S Furniture in Kandivali East, Mumbai",3.5,2,"Mahada Plot No.32 , Room No.22, Akruli Road, Kandivali East, Mumbai - 400101, Nearby Lokhandwala",Not Verified
"Ram Anuj Sharma Carpenter in Dahisar, Mumbai",4.1,4,"Shiv Neri Rehwashi Mandal, L B S Nagar , Kandhar Pada, Dahisar, Mumbai - 400068, Nearby Ganesh Mandir",Not Verified
"Varsha Furniture in Borivali West, Mumbai",3.8,11,"Ekta Milan Building, Link Road, Devi Das Road, Borivali West, Mumbai - 400103, Near Tata Power Office",Not Verified
"Nk Enterprises in Mira Road, Mumbai",3.8,7,"Hiral Greens, Mira Road, Thane - 401107, Siddhivinayak Nagar",Not Verified
"M M Furniture in Borivali East, Mumbai",4.7,17,"10 Neha Industrial Estate, Dattapada Road, Borivali East, Mumbai - 400066, Opposite Oberoi Sky City",Verified
"S K Vishwakarma Interior in Nilje, Mumbai",4.2,7,"Shop No 18, Chandresh Gokul Building, Kalyan Shil Road, Nilje, Thane - 421204, Lodha Heaven, Near Shivaji Chowk",Not Verified
"Noble Services in Vikhroli West, Mumbai",4.3,9,"G-106, Kailas Industrial Complex, Godrej Hiranandani Link Road, Vikhroli West, Mumbai - 400079, Near Kailas Business Park",Not Verified
"C.K. Enterprises in Kandivali East, Mumbai",4.8,3,"Ram Dhani, Raj Bhar Chawl, Room No 07,, Goandevi Road Poisar, Kandivali East, Mumbai - 400101, Near Ganesh Chowk",Not Verified
"Jay Carpenter Contractor in Malad East, Mumbai",4.8,62,"Sai Nath Seva Mandal, Tanaji Nagar,Kurar Village, Malad East, Mumbai - 400097, Near Shiv Sena Office",Not Verified
"Noble Services in Vikhroli West, Mumbai",4.3,9,"G-106, Kailas Industrial Complex, Godrej Hiranandani Link Road, Vikhroli West, Mumbai - 400079, Near Kailas Business Park",Not Verified
"Vidya Construction in Dombivli East, Mumbai",4.7,10,"Shop No 1, Sanjay Nagar, Phase 2, Dombivli East, Thane - 421201, Near Sai Baba Mandir, Star Colony",Verified
"Arjun Nishad in Borivali West, Mumbai",4.3,10,"Room No 32, Ganpat Patil Nagar, Link Road, Borivali West, Mumbai - 400103, Opposite Sardar Vallabhbhai Patel College, Near Durga Mandir, 2nd Galli, IC Colony",Verified
"Pradeep Contractor in Kopar Khairane, Mumbai",4.5,6,"Room No- 971, SS-1, Sector-8, Kopar Khairane, Navi Mumbai - 400709, Near Koparkhairane Railway Station",Not Verified
"Shree Ganesh Enterprises in Mira Road, Mumbai",3.7,10,"Shop No B 06,Ramdev Enclave, Ramdev Park Road, Mira Road, Thane - 401107, Opp Seven Squre Academy",Not Verified
"Mahalaxmi Furniture in Kopar Khairane, Mumbai",3.0,1,"Shop No 11, Sankalp CHS, Plot No 01, Sector 23, Kopar Khairane, Navi Mumbai - 400709, Beside Beverly Park",Not Verified
"Golden Labour Group in Kandivali West, Mumbai",4.4,32,"Gala No.10 Jogi Nivas, Khajuriya Road, Kandivali West, Mumbai - 400067, Opposite Jansukh Park",Not Verified
"Vijaylaxmi Furniture in Goregaon West, Mumbai",3.3,4,"D/26, Bhagat Singh Nagar No 1, Link Road, Goregaon West, Mumbai - 400104, Near Oshiwara Bus Depot",Not Verified
