Name,Rating,Rating Count,Address,Verified
"Asha Furniture in Panvel, Mumbai",3.9,12,"Shop No F9 Balaji Arcade, Panvel, Navi Mumbai - 410206, Near Gavdevi Mandir",Not Verified
"Sharma Interior Decorators in Cbd Belapur, Mumbai",4.7,16,"Sharma Timber Mart,Shop No.1, Mahesh Bldg,Sector-15 Plot No.37, Cbd Belapur, Navi Mumbai - 400614, Near Croma Showroom",Not Verified
"Mahalaxmi Furniture in Kopar Khairane, Mumbai",3.0,1,"Shop No 11, Sankalp CHS, Plot No 01, Sector 23, Kopar Khairane, Navi Mumbai - 400709, Beside Beverly Park",Not Verified
"Pradeep Contractor in Kopar Khairane, Mumbai",4.5,6,"Room No- 971, SS-1, Sector-8, Kopar Khairane, Navi Mumbai - 400709, Near Koparkhairane Railway Station",Not Verified
"Oms Corp Care System in Sanpada, Mumbai",5.0,2,"Shop No 6, Shiv Datt Chs,Plot No 15, Sector 01, Sanpada, Navi Mumbai - 400703, Off Palm Beach Sector",Verified
"Adhvi Interior Designer in Sanpada, Mumbai",3.5,2,"Sankalp Society, Sector 8, Sanpada, Navi mumbai - 400705, Behind Seventh Day School",Not Verified
"S B Enterprises in Vashi, Mumbai",4.1,8,"Shop No. 17, Ground Floor, Chawla Ware House, Plot No.44/9, Sector 18, Vashi, Navi Mumbai - 400703, Near Gokul Dairy",Not Verified
"Spak Construction and Developers Pvt. Ltd. in Sanpada, Mumbai",4.5,6,"Akhurath CHS, C-703, Sector-14,, Sanpada, Navi Mumbai - 400703, Near Moraj Residency",Verified
"J K Aluminium Window Works in Kopar Khairane, Mumbai",4.1,9,"Shop No-8, Mahavir Vaibhav, Plot No-13, Sector-11, Kopar Khairane, Navi Mumbai - 400709, Near Balaji Garden",Verified
"Asmita Construction Co. in Kamothe, Mumbai",4.1,8,"House No 236/212 Aarya Residency, Kolwadi District Raigad, Kamothe, Navi Mumbai - 410206, Near Sanjay Gandhi High School",Verified
"R H B Enterprise in Kopar Khairane, Mumbai",3.8,2,"Sector No 12,Bonkode Gaon, Kopar Khairane, Navi Mumbai - 400709, City Hospital",Verified
"Vishwakarma Furniture And Civil Work in Juinagar, Mumbai",5.0,2,"Shop No 04, Kalpruksh Chs, Plot No 92/93, Sector No 23, Juinagar, Navi Mumbai - 400706, Near Railway Colony",Not Verified
"Om Prakash Carpentary Works in Nerul, Mumbai",3.0,2,"Nerul Gaon, Sector - 20, Nerul, Navi Mumbai - 400706",Not Verified
"A 2 Z Furniture in Nerul, Mumbai",4.4,17,"Shop No.2,Plot No.727,Pandit Darshan Building, Sector 20, Nerul, Navi Mumbai - 400706, Samsaan Bhoomi",Not Verified
"Indresh Enterprises in Airoli, Mumbai",2.5,2,"Shop No 5, 90 Feet Road, Airoli, Navi Mumbai - 400708, Near By Parsik Bank",Not Verified
"Bharat Interior Work in Ghansoli, Mumbai",4.4,30,"Buidling No 319,Shop No 3,Radha Krishna Apartment, Sector 16,Ghansoli Goan, Ghansoli, Navi Mumbai - 400701, Near 40 Plus Maidan",Not Verified
"Ansh Furniture Works in Airoli, Mumbai",3.5,2,"Shop No. 3, Jai Kalika Apartment, Plot No. C 22, Sector 9, Airoli, Navi Mumbai - 400708, Near D Mart Road",Not Verified
"Choise Furniture in Seawoods, Mumbai",4.7,18,"Shop No.6,  Plot No -422/423, Monarch Elegancy, Sector-36, Seawoods, Navi Mumbai - 400706, Opposite Bank Of India",Not Verified
"IQRA Interior in Seawoods, Mumbai",4.3,6,"Shop No 06,House No 243/003-004, Sector 36, Seawoods, Navi Mumbai - 400706, Karave Gaon, Behind Podar School",Not Verified
"Interior Solutions in Cbd Belapur, Mumbai",4.4,13,"Plot No. 8/22, Sector 8, Cbd Belapur, Navi Mumbai - 400614, Opposite to St Joseph Churtch",Not Verified
"Interior Solutions in Cbd Belapur, Mumbai",4.4,13,"Plot No. 8/22, Sector 8, Cbd Belapur, Navi Mumbai - 400614, Opposite to St Joseph Churtch",Not Verified
"Om Enterprises in Kharghar, Mumbai",3.0,6,"Surekha Patil Niwas,  House  No. 944, Room No. 17, Kharghar, Navi Mumbai - 410210, Near Ram Mandir and D Mart",Not Verified
"Shree Mahadev Electric & Hardware in Kharghar, Mumbai",4.4,41,"Shop No.7,Royal Plaza,Plot No.42, Sector.19, Kharghar, Navi Mumbai - 410210, Near Reliance Fresh",Verified
