Name,Rating,Rating Count,Address,Verified
"Yusufi Electricals in Girgaon, Mumbai",4.7,6,"Shop No 3, Kanji Mansion, SVP Road, 6th Khetwadi-girgaon, Girgaon, Mumbai - 400004, Near Gokul Dham Hotel",Not Verified
"John Electricals 24 Hours in Malad West, Mumbai",4.1,56,"Shop 5, Orlem Market, Marve Road, Malad West, Mumbai - 400064, Near Orlem Church",Verified
"Satya Electrical 24 Hours in Andheri West, Mumbai",4.1,89,"Shop Number 04 Vajayanti Apartment, Lokhandwala Market Road, 4th Cross Lane, Andheri West, Mumbai - 400053, Near HDFC Bank",Verified
"R J Home Services in Bandra West, Mumbai",4.0,16,"Room.no. 23 Building No. 01, Hill Road, Bandra West, Mumbai - 400050, Behind Bata Showroom",Not Verified
"Frank Interior Decorators in Nariman Point, Mumbai",4.9,9,"Office 415 Sra Building, Free Press Road, Nariman Point, Mumbai - 400021, Opposite Raheja Chembers",Not Verified
"S K Enterprises in Mira Road, Mumbai",4.8,4,"Shop No 03 Eden Roase, Kanakiya Road, Mira Road, Thane - 401107, Near Cine Max",Not Verified
"Lalit Plumbing And Electric Works in Goregaon East, Mumbai",4.2,7,"Shop .n.6 Apna Sakha Society, Aarey Road, Goregaon East, Mumbai - 400063, DGS Haush",Not Verified
"Faisal Ansari in Mumbai Central, Mumbai",4.1,22,"Mumbai Central, Mumbai - 400008, Opposite Hindmata Restaurant, Near Velji Bhulabhai Rashanwala & Bridge",Not Verified
"Bright Light Electrical in Khopat-Thane West, Mumbai",4.9,14,"Shop No 1, Kharote Chawl, Gokuldas Wadi, Khopat-Thane West, Thane - 400601, Near Durga Mata Gym",Not Verified
"Shri Electricals in Vashi, Mumbai",4.0,16,"Vitthai Niwas, Sector -26, Vashi, Navi Mumbai - 400703, Kopari Village, Near Hanuman Temple",Not Verified
"Sudhir More in Airoli, Mumbai",4.7,116,"AH No.964,Sector -1, Airoli Naka, Airoli, Navi Mumbai - 400708, Opposite Fish Market",Verified
