Name,Rating,Rating Count,Address,Verified
"Nitin Electricians in Kopar Khairane, Mumbai",4.3,9,"Plot Number A-15, Agarwal Dairy Farm, Thane Belapur Road, Kopar Khairane, Navi Mumbai - 400709, Near Kopar Khairane MIDC",Not Verified
"Shri Electricals in Vashi, Mumbai",4.0,16,"Vitthai Niwas, Sector -26, Vashi, Navi Mumbai - 400703, Kopari Village, Near Hanuman Temple",Not Verified
"Aditya Electricals Work in Vashi, Mumbai",4.6,10,"Shop No -02, Juhu Village, Plot No -179, Sector-11, Vashi, Navi Mumbai - 400703, Near Nakoda Hp Gas",Not Verified
"Oms Corp Care System in Sanpada, Mumbai",5.0,2,"Shop No 6, Shiv Datt Chs,Plot No 15, Sector 01, Sanpada, Navi Mumbai - 400703, Off Palm Beach Sector",Verified
"Jadhav Electricals in Turbhe, Mumbai",3.7,5,"House No 409 Yerya Chawl, Thane Belapur Road, Pawane Gaon, Turbhe, Navi Mumbai - 400703, Near Gaodevi Temple",Not Verified
"Incretech Private Limited in Vashi, Mumbai",4.9,27,"Unit No. S-132, Second Floor, Fantasia Business Park, Vashi, Navi Mumbai - 400703, Near Plot No. 47, Sector 30A",Not Verified
"Jagmohan Choubey in Turbhe, Mumbai",3.8,20,"Plot No 100, Turbhe Service Industrial Area, Sector 23, Turbhe, Navi Mumbai - 400703, Near Janata Market",Verified
"S B Enterprises in Vashi, Mumbai",4.1,8,"Shop No. 17, Ground Floor, Chawla Ware House, Plot No.44/9, Sector 18, Vashi, Navi Mumbai - 400703, Near Gokul Dairy",Not Verified
"Spak Construction and Developers Pvt. Ltd. in Sanpada, Mumbai",4.5,6,"Akhurath CHS, C-703, Sector-14,, Sanpada, Navi Mumbai - 400703, Near Moraj Residency",Verified
"Pawan Electrical in Nerul, Mumbai",4.8,4,"Plot No 1475, Matrapitra Chhaya, Shiravne Goan, Sector 1, Thane Belapur Road, Nerul, Navi Mumbai - 400706, Near Santosh Hardware",Not Verified
