Name,Rating,Rating Count,Address,Verified
"Fridge Cool Sevices in Tulsiwadi, Mumbai",4.0,119,"Om Building, B 2 B, Room No 814,M P Mills Compaund, M P Mills Compaund, Tulsiwadi, Mumbai - 400034, Maharshtra Nagar",Verified
"H Tech Electronics & Solution in Thakur Village-kandivali East, Mumbai",4.9,7,"Shop No 2, Road No 5., Singh Est, Thakur Village-kandivali East, Mumbai - 400101, Near Samta Nagar Ashram Road",Not Verified
"Om Sai Electronics in Bhiwandi, Mumbai",5.0,42,"Shop No 2, Arun Niwas, 2nd Naigaon Gayatri Nagar Road, Bhiwandi, Bhiwandi - 421302, Opposite Axis Bank Atm",Verified
"Sai Electronics in Govandi East, Mumbai",4.8,14,"Shop No.197/3, Lakhia House, Govandi Station Road, Govandi East, Mumbai - 400088, Opposite Police Station",Not Verified
"AIR Floor System in Goregaon West, Mumbai",3.4,124,"Z-153, Kranti Building, Link Road, Goregaon West, Mumbai - 400104, Opposite Goregaon Bus Depot, Bhagat Singh Nagar No 3",Not Verified
"Jai Ambe Electronics Service Centre in Andheri East, Mumbai",3.7,91,"Lane No 3, Sahar Road, Andheri East, Mumbai - 400069, Koldongiri",Not Verified
"Sharp Cool Services in Goregaon West, Mumbai",4.6,41,"Shop No 14, S V Road, Goregaon West, Mumbai - 400090, Near MTNL Office",Verified
"Inder Telecom in Mulund West, Mumbai",3.7,17,"Shop No. 26 , Building No A/4, Veena Nagar, Lbs Marg, Mulund West, Mumbai - 400080, Opposite Saraswat Bank",Not Verified
"N C Service Center in Mira Road, Mumbai",4.5,35,"Shop No.4 Miral Apt Govind Nagar, Mira Bhayander Road, Mira Road, Thane - 401107, Nr Sai Petrol Pump",Verified
"Shivay Enterprises in Titwala, Mumbai",5.0,8,"Shop No. 1,, Indira Nagar Raod, Titwala, Thane - 421605, Near - Rashtriy Viddyalay",Not Verified
"Inder Telecom in Mulund West, Mumbai",3.7,17,"Shop No. 26 , Building No A/4, Veena Nagar, Lbs Marg, Mulund West, Mumbai - 400080, Opposite Saraswat Bank",Not Verified
"Endservic in Jogeshwari West, Mumbai",4.0,148,"Shop No 9,Roshan Nagar S R A Chs Ltd BLdg, New Link Road,, Jogeshwari West, Mumbai - 400102, Next to Lashkaria Empress",Verified
"Alif Mobile Telecom Watch And Electronic in Dharavi, Mumbai",4.0,50,"Shop No 04 Chitrakut Building, 90 Feet Road, Dharavi, Mumbai - 400017, Near Citizen Hotel",Not Verified
"Al Azhar Enterprises in Null Bazar, Mumbai",4.3,43,"Shop No 7,Haji Building,, 50 SVP Road, Null Bazar, Null Bazar, Mumbai - 400003, Near Hilal Saloon",Not Verified
"Shivay Enterprises in Titwala, Mumbai",5.0,8,"Shop No. 1,, Indira Nagar Raod, Titwala, Thane - 421605, Near - Rashtriy Viddyalay",Not Verified
"Mobile Point Nx & Laptop Point Sales & Services in Vile Parle West, Mumbai",3.8,524,"Shop No 1,  Next to  Alfa 5, Irla Society Road, Vile Parle West, Mumbai - 400056, Near Papillon Hotel",Not Verified
"Ganesh Telecom in Goregaon East, Mumbai",3.8,68,"Shop No. 1, Sumara Compound, Gen Arun Kumar Vaidhya Marg, Goregaon East, Mumbai - 400063, Opposite Bombay 63, Gokuldham, Near Dindoshi Court",Not Verified
"S R Service Centre in Borivali East, Mumbai",3.8,43,"Dharam Palace, Shantivan, Borivali East, Mumbai - 400066, Near National Park",Not Verified
"Quick Cool Services in Goregaon West, Mumbai",4.8,351,"Shop No 57, Link Road, Goregaon West, Mumbai - 400104, Bangur Nagar, Near Inorbit Mall",Verified
"Shree Krupa Refrigeration in Badlapur, Mumbai",4.6,30,"Chandrawal Society, Ground Floor, D P Road, Badlapur, Thane - 421503, Ghorpade Chauk,Opp Bank Of India",Not Verified
"Endservic in Jogeshwari West, Mumbai",4.0,148,"Shop No 9,Roshan Nagar S R A Chs Ltd BLdg, New Link Road,, Jogeshwari West, Mumbai - 400102, Next to Lashkaria Empress",Verified
"Realme Service Center Shakti Infotech Malad in Malad West, Mumbai",3.9,28,"Shop No 13, 2nd Floor,The Mall Shopping Centre, Station Road, Malad West, Mumbai - 400064, Opposite Malad Railway Station",Verified
"Alif Mobile Telecom Watch And Electronic in Dharavi, Mumbai",4.0,50,"Shop No 04 Chitrakut Building, 90 Feet Road, Dharavi, Mumbai - 400017, Near Citizen Hotel",Not Verified
"Solutions in Ghatkopar East, Mumbai",4.1,317,"Shop No 1, M G Road, Ghatkopar East, Mumbai - 400077, Near Pooja Hotel, Bhaveshwar Market",Verified
"Mayur Sales & Service in Mulund West, Mumbai",4.2,51,"Shop No 2, 3 and 4, Jivaram Bhuvan Building, R R T Road, Mulund West, Mumbai - 400080, Opposite Lohana Mahajan Wadi, Bhaji Market",Not Verified
"A M Choudhary AIR Condition in Seawoods, Mumbai",4.0,13,"Shop No 02, Asmita Residency, Plot No 76, Sector 44A, Seawoods, Navi Mumbai - 400706, Opp Petrop Pump",Not Verified
"N C Service Center in Mira Road, Mumbai",4.5,35,"Shop No.4 Miral Apt Govind Nagar, Mira Bhayander Road, Mira Road, Thane - 401107, Nr Sai Petrol Pump",Verified
"Om Sai Telecom in Dombivli East, Mumbai",3.7,3,"C/O Prakash Ahire ,Indira Nagar, Shelar Chowk, Kalyan Road,, Dombivli East, Thane - 421201, Near Shelar Chowk",Not Verified
"Divyang Mobile Repair and Services in Dombivli East, Mumbai",4.7,5,"Shop No 3, Dombiwali Station Road, Dombivli East, Thane - 421201, Near By Pooja Jewellers , Mukund Apatment ,",Not Verified
"Al Azhar Enterprises in Null Bazar, Mumbai",4.3,43,"Shop No 7,Haji Building,, 50 SVP Road, Null Bazar, Null Bazar, Mumbai - 400003, Near Hilal Saloon",Not Verified
"Star Cool INDIA in Andheri West, Mumbai",4.7,415,"Shop No 16, Laxkariya Building, Veera Desai Road, Andheri West, Mumbai - 400058, Near Country Club",Verified
"Mayur Sales & Service in Mulund West, Mumbai",4.2,51,"Shop No 2, 3 and 4, Jivaram Bhuvan Building, R R T Road, Mulund West, Mumbai - 400080, Opposite Lohana Mahajan Wadi, Bhaji Market",Not Verified
"New Choice Centre in Vile Parle East, Mumbai",3.7,17,"Shop No-1/G, Kamdar Shopping Centre, S Khandekar Marg, Vile Parle East, Mumbai - 400057, Near- Girnar Tea",Verified
"Jamsons Car - Air Condition And Tyres in Vile Parle East, Mumbai",4.6,5,"S. No. 4, Sharda Bhavan, Nehru Road, Vile Parle East, Mumbai - 400057, Opp. Aadarsh Petrol Pump",Verified
"Aastha Electronics in Kandivali East, Mumbai",4.3,7,"Gala No 18, Road No 2, Kandivali East, Mumbai - 400101, Near Thakur College",Not Verified
"Jay Malhar Electronics in Near Vartak Nagar Police Station, Mumbai",4.8,3,"Nayantara Apartment, Shop No 2, Lokmanya Nagar Pada No 1, Thane - 400606, Near Vartak Nagar Police Station",Verified
"Jai Mataji Electronic in Thakur Complex-Kandivali East, Mumbai",4.7,15,"Shop No 13, Vasant Smruti Building, 90 Feet Road, Thakur Complex-Kandivali East, Mumbai - 400101, Near Surbhi Hotel",Verified
"Magic Lamp in Mira Road, Mumbai",4.8,33,"Shop No-11,Cine Prime Mall, Beverly Park Kanakia Road, Mira Road, Thane - 401107",Verified
