Name,Rating,Rating Count,Address,Verified
"Inder Telecom in Mulund West, Mumbai",3.7,17,"Shop No. 26 , Building No A/4, Veena Nagar, Lbs Marg, Mulund West, Mumbai - 400080, Opposite Saraswat Bank",Not Verified
"Jay Malhar Electronics in Near Vartak Nagar Police Station, Mumbai",4.8,3,"Nayantara Apartment, Shop No 2, Lokmanya Nagar Pada No 1, Thane - 400606, Near Vartak Nagar Police Station",Verified
"Croma (R Mall) in Thane West, Mumbai",3.9,3940,"Unit No 6/12, Ground Floor, R Mall, Ghodbunder Road, Thane West, Thane - 400601, Opposite Lawkim Stop",Not Verified
"Reliance Digital Retail Ltd in Manpada-thane West, Mumbai",3.8,2704,"Shop No 4, Orion Business Park, Ghodbunder Road, Manpada-thane West, Thane - 400607, Near Cinemax Cinema & Cine Wonder Mall",Not Verified
"Ccom Telecommunications Pvt Ltd in Thane West, Mumbai",3.7,2121,"F 11,12 /14,1st Flor,Eternity Mall, Thane West, Thane - 400604, Teen Haath Naka",Verified
"Samsung Service Centre in Thane West, Mumbai",3.9,1567,"Shop No 3 & 4, 1st Floor, Commercial Premises, Lokmanya Co Operative Housing Society, Veer Savarkar Marg, Thane West, Thane - 400602, Near Gajananad Maharaj Temple",Not Verified
"B2x Authorised Service Center in Thane West, Mumbai",3.9,1234,"Shop No 4, Dev Prayag Co Operative Housing Society, Bhakti Mandir Road, Thane West, Thane - 400601, Opposite Thanawala Garage, Hariniwas Circle",Not Verified
"Mayur Sales & Service in Mulund West, Mumbai",4.2,51,"Shop No 2, 3 and 4, Jivaram Bhuvan Building, R R T Road, Mulund West, Mumbai - 400080, Opposite Lohana Mahajan Wadi, Bhaji Market",Not Verified
"Royal Mobiles in Mulund West, Mumbai",3.8,8,"A/13, Chandra Darshan, P.K Road, Mulund West, Mumbai - 400080, Next to Jalaram Sweet",Verified
"Cell City Mobile Shop in Airoli, Mumbai",4.1,104,"Shop No 11, Shiv Shankar Apartment, Sector 06, Airoli, Navi Mumbai - 400708, Near Axis Bank",Not Verified
"Om Mobile in Airoli, Mumbai",5.0,23,"Shop No. 7 Mohit Chs, Sector 2., Airoli, Airoli, Navi Mumbai - 400708, Datta Meghe World Academy-Airoli",Not Verified
"Chamunda Electronics in Bhandup West, Mumbai",4.0,18,"Shop No 06, Karia Estate, Station Road, Bhandup West, Mumbai - 400078, Near Municipal Chawl Near Bhandup Plaza",Verified
"H Tech Electronics & Solution in Thakur Village-kandivali East, Mumbai",4.9,7,"Shop No 2, Road No 5., Singh Est, Thakur Village-kandivali East, Mumbai - 400101, Near Samta Nagar Ashram Road",Not Verified
"EL Tech Solutions in Nilje, Mumbai",4.9,10,"Shop No 05 Sana Hills, Shill Mahape Road, Nilje, Thane - 421204, Behind Octroi Naka Salfiya Nagar",Verified
"Om Sai Telecom in Dombivli East, Mumbai",3.7,3,"C/O Prakash Ahire ,Indira Nagar, Shelar Chowk, Kalyan Road,, Dombivli East, Thane - 421201, Near Shelar Chowk",Not Verified
"Divyang Mobile Repair and Services in Dombivli East, Mumbai",4.7,5,"Shop No 3, Dombiwali Station Road, Dombivli East, Thane - 421201, Near By Pooja Jewellers , Mukund Apatment ,",Not Verified
"Ganesh Telecom in Goregaon East, Mumbai",3.8,68,"Shop No. 1, Sumara Compound, Gen Arun Kumar Vaidhya Marg, Goregaon East, Mumbai - 400063, Opposite Bombay 63, Gokuldham, Near Dindoshi Court",Not Verified
"Appliance Repair & Service Centre in Dombivli West, Mumbai",4.0,172,"A-13, 1 St Floor, Shivranajani Co Operative Housing Society, Subhash Road, Dombivli West, Thane - 421202, Navpada",Not Verified
"S R Service Centre in Borivali East, Mumbai",3.8,43,"Dharam Palace, Shantivan, Borivali East, Mumbai - 400066, Near National Park",Not Verified
"Jai Mataji Electronic in Thakur Complex-Kandivali East, Mumbai",4.7,15,"Shop No 13, Vasant Smruti Building, 90 Feet Road, Thakur Complex-Kandivali East, Mumbai - 400101, Near Surbhi Hotel",Verified
"Aastha Electronics in Kandivali East, Mumbai",4.3,7,"Gala No 18, Road No 2, Kandivali East, Mumbai - 400101, Near Thakur College",Not Verified
"Mittal Enterprise in Goregaon East, Mumbai",4.0,157,"Unit No 1, Gujarat Compound, Commerce Centre, Vishweshwar Nagar Road, Goregaon East, Mumbai - 400063, Opposite ACME Amay / Idea Gallery",Not Verified
"Om Sai Electronics in Bhiwandi, Mumbai",5.0,42,"Shop No 2, Arun Niwas, 2nd Naigaon Gayatri Nagar Road, Bhiwandi, Bhiwandi - 421302, Opposite Axis Bank Atm",Verified
"Realme Service Center Shakti Infotech Malad in Malad West, Mumbai",3.9,28,"Shop No 13, 2nd Floor,The Mall Shopping Centre, Station Road, Malad West, Mumbai - 400064, Opposite Malad Railway Station",Verified
"AIR Floor System in Goregaon West, Mumbai",3.4,124,"Z-153, Kranti Building, Link Road, Goregaon West, Mumbai - 400104, Opposite Goregaon Bus Depot, Bhagat Singh Nagar No 3",Not Verified
"N C Service Center in Mira Road, Mumbai",4.5,35,"Shop No.4 Miral Apt Govind Nagar, Mira Bhayander Road, Mira Road, Thane - 401107, Nr Sai Petrol Pump",Verified
"Gaurav Mobile in Mira Road, Mumbai",4.6,24,"Shop No. 6, Building No. 67/68, Sector No.1, Shanti Nagar, Mira Road, Thane - 401107, Opposite T.M.T. Bus Stop",Verified
"Magic Lamp in Mira Road, Mumbai",4.8,33,"Shop No-11,Cine Prime Mall, Beverly Park Kanakia Road, Mira Road, Thane - 401107",Verified
"Endservic in Jogeshwari West, Mumbai",4.0,148,"Shop No 9,Roshan Nagar S R A Chs Ltd BLdg, New Link Road,, Jogeshwari West, Mumbai - 400102, Next to Lashkaria Empress",Verified
"Solutions in Ghatkopar East, Mumbai",4.1,317,"Shop No 1, M G Road, Ghatkopar East, Mumbai - 400077, Near Pooja Hotel, Bhaveshwar Market",Verified
"Solutions in Ghatkopar East, Mumbai",4.1,317,"Shop No 1, M G Road, Ghatkopar East, Mumbai - 400077, Near Pooja Hotel, Bhaveshwar Market",Verified
"Sharp Cool Services in Goregaon West, Mumbai",4.6,41,"Shop No 14, S V Road, Goregaon West, Mumbai - 400090, Near MTNL Office",Verified
"Star Cool INDIA in Andheri West, Mumbai",4.7,415,"Shop No 16, Laxkariya Building, Veera Desai Road, Andheri West, Mumbai - 400058, Near Country Club",Verified
"Quick Cool Services in Goregaon West, Mumbai",4.8,351,"Shop No 57, Link Road, Goregaon West, Mumbai - 400104, Bangur Nagar, Near Inorbit Mall",Verified
"Shaan Mobile in Jogeshwari West, Mumbai",4.3,9,"Shop No 2, Beside Jaffar Bhai Delhi Darbaar, S V Road, Jogeshwari West, Mumbai - 400102, Opp Ghaswalla Dairy",Not Verified
