Name,Rating,Rating Count,Address,Verified
"Krishna Mobile & Laptop Repairing Center in Vashi, Mumbai",4.3,23,"Shop No-192,Harare Fantasia Business Park, Sector 30, Vashi, Navi Mumbai - 400703, Near Vashi Railway Station",Not Verified
"Croma in Vashi, Mumbai",4.1,2162,"Ground & First Floor, Plot No 26 & 27,Akshar Plaza, Palm Beach Road, Vashi, Navi Mumbai - 400703, Near Sector 19 C",Not Verified
"Goodluck Service Center in Vashi, Mumbai",3.9,1411,"Shop No 6, SAI Prem Building, Vashi, Navi Mumbai - 400703, Sector 14",Not Verified
"Shree Sai Electronics in Vashi Sector 5, Mumbai",3.8,1404,"Shop No F 1/11, Sagar Vihar Road, Vashi Sector 5, Navi Mumbai - 400703, Behind Ramdev Hotel",Not Verified
"TVS Electronics in Vashi, Mumbai",4.0,1202,"Unit No-S-175, Second Floor, Haware Fantasia Business Park, Plot No 47, Sanpada Road, Vashi, Navi Mumbai - 400703, Behind Inorbit Mall, Near Vashi Railway Station, Sector 30A",Not Verified
"Omkar Electronics in Vashi Sector 30a, Mumbai",4.1,1111,"Shop No S 186, Ground Floor, Plot No 47, Haware Fantasia Business Park, Vashi Sector 30a, Navi Mumbai - 400703, Near Inorbit Mall & Vashi Railway Station",Not Verified
"Reliance Mobile Store in Sanpada Sector 3, Mumbai",3.6,1088,"Shop No C 001, Sanpada Sector 3, Navi Mumbai - 400703, Sanpada Railway Station Complex",Not Verified
"A M Choudhary AIR Condition in Seawoods, Mumbai",4.0,13,"Shop No 02, Asmita Residency, Plot No 76, Sector 44A, Seawoods, Navi Mumbai - 400706, Opp Petrop Pump",Not Verified
"Sai Electronics in Govandi East, Mumbai",4.8,14,"Shop No.197/3, Lakhia House, Govandi Station Road, Govandi East, Mumbai - 400088, Opposite Police Station",Not Verified
"Cell City Mobile Shop in Airoli, Mumbai",4.1,104,"Shop No 11, Shiv Shankar Apartment, Sector 06, Airoli, Navi Mumbai - 400708, Near Axis Bank",Not Verified
"Solutions in Ghatkopar East, Mumbai",4.1,317,"Shop No 1, M G Road, Ghatkopar East, Mumbai - 400077, Near Pooja Hotel, Bhaveshwar Market",Verified
"EL Tech Solutions in Nilje, Mumbai",4.9,10,"Shop No 05 Sana Hills, Shill Mahape Road, Nilje, Thane - 421204, Behind Octroi Naka Salfiya Nagar",Verified
"Mobile Solution in Kharghar, Mumbai",4.5,51,"Shop No.5 Haware Sharmik Building, Sector No.20, Kharghar, Navi Mumbai - 410210, Near Shilp Chowk, Before Dominos Pizza",Not Verified
"Hari Om Mobile & Laptop in Kharghar, Mumbai",4.7,69,"Shop No. 12, Plot No. 7, Anmol Plaza, Sector 08, Kharghar, Navi Mumbai - 410210, Near SBI Bank",Verified
"Om Mobile in Airoli, Mumbai",5.0,23,"Shop No. 7 Mohit Chs, Sector 2., Airoli, Airoli, Navi Mumbai - 400708, Datta Meghe World Academy-Airoli",Not Verified
"Chamunda Electronics in Bhandup West, Mumbai",4.0,18,"Shop No 06, Karia Estate, Station Road, Bhandup West, Mumbai - 400078, Near Municipal Chawl Near Bhandup Plaza",Verified
"Mayur Sales & Service in Mulund West, Mumbai",4.2,51,"Shop No 2, 3 and 4, Jivaram Bhuvan Building, R R T Road, Mulund West, Mumbai - 400080, Opposite Lohana Mahajan Wadi, Bhaji Market",Not Verified
"Tech Zone NXT in Kurla West, Mumbai",4.9,76,"Swatantra Sanik Chawl, New Mill Road, Kurla West, Mumbai - 400070, Near Equinox Business Park, Shri Krishna Chowk",Not Verified
"Royal Mobiles in Mulund West, Mumbai",3.8,8,"A/13, Chandra Darshan, P.K Road, Mulund West, Mumbai - 400080, Next to Jalaram Sweet",Verified
"Alif Mobile Telecom Watch And Electronic in Dharavi, Mumbai",4.0,50,"Shop No 04 Chitrakut Building, 90 Feet Road, Dharavi, Mumbai - 400017, Near Citizen Hotel",Not Verified
"Alif Mobile Telecom Watch And Electronic in Dharavi, Mumbai",4.0,50,"Shop No 04 Chitrakut Building, 90 Feet Road, Dharavi, Mumbai - 400017, Near Citizen Hotel",Not Verified
"Zaman Telecom in Santacruz East, Mumbai",4.8,13,"Shop No.B-6, Khairunnisa Manzil, Nehru Road, Santacruz East, Mumbai - 400055, Near Vakola Church",Not Verified
"Kundan Electronics in Antop Hill, Mumbai",3.6,90,"5 Ganesh Society, S M Road, Antop Hill, Mumbai - 400037, Near Antophill Church",Verified
"New Choice Centre in Vile Parle East, Mumbai",3.7,17,"Shop No-1/G, Kamdar Shopping Centre, S Khandekar Marg, Vile Parle East, Mumbai - 400057, Near- Girnar Tea",Verified
"Jai Ambe Electronics Service Centre in Andheri East, Mumbai",3.7,91,"Lane No 3, Sahar Road, Andheri East, Mumbai - 400069, Koldongiri",Not Verified
"Ganesh Telecom in Goregaon East, Mumbai",3.8,68,"Shop No. 1, Sumara Compound, Gen Arun Kumar Vaidhya Marg, Goregaon East, Mumbai - 400063, Opposite Bombay 63, Gokuldham, Near Dindoshi Court",Not Verified
"Mobile Point Nx & Laptop Point Sales & Services in Vile Parle West, Mumbai",3.8,524,"Shop No 1,  Next to  Alfa 5, Irla Society Road, Vile Parle West, Mumbai - 400056, Near Papillon Hotel",Not Verified
"Jamsons Car - Air Condition And Tyres in Vile Parle East, Mumbai",4.6,5,"S. No. 4, Sharda Bhavan, Nehru Road, Vile Parle East, Mumbai - 400057, Opp. Aadarsh Petrol Pump",Verified
"Jay Malhar Electronics in Near Vartak Nagar Police Station, Mumbai",4.8,3,"Nayantara Apartment, Shop No 2, Lokmanya Nagar Pada No 1, Thane - 400606, Near Vartak Nagar Police Station",Verified
"Sana Telecom in Dharavi, Mumbai",2.9,8,"B 731/1, Ground Floor, M P Nagar, Dhordwada Road, Dharavi, Mumbai - 400017, Near Qadriya Maszid",Not Verified
"Shaan Mobile in Jogeshwari West, Mumbai",4.3,9,"Shop No 2, Beside Jaffar Bhai Delhi Darbaar, S V Road, Jogeshwari West, Mumbai - 400102, Opp Ghaswalla Dairy",Not Verified
"Vijay Computers in Matunga East, Mumbai",4.2,13,"Shop Number 90/91 L B Shastri Market, L N Road, Matunga East, Mumbai - 400019, Near Matunga Central Station East",Verified
"Take Care Services in Santacruz West, Mumbai",5.0,368,"Shop No.3 Gokul Building, S V Road, Santacruz West, Mumbai - 400054, Near Milan Subway Road",Not Verified
"Mittal Enterprise in Goregaon East, Mumbai",4.0,157,"Unit No 1, Gujarat Compound, Commerce Centre, Vishweshwar Nagar Road, Goregaon East, Mumbai - 400063, Opposite ACME Amay / Idea Gallery",Not Verified
"Endservic in Jogeshwari West, Mumbai",4.0,148,"Shop No 9,Roshan Nagar S R A Chs Ltd BLdg, New Link Road,, Jogeshwari West, Mumbai - 400102, Next to Lashkaria Empress",Verified
"Realme Service Center Shakti Infotech Malad in Malad West, Mumbai",3.9,28,"Shop No 13, 2nd Floor,The Mall Shopping Centre, Station Road, Malad West, Mumbai - 400064, Opposite Malad Railway Station",Verified
