Name,Rating,Rating Count,Address,Verified
"Dilshad Interiors in Jogeshwari West, Mumbai",4.4,70,"Shop No 5, Shukla Compound, Link Road, Jogeshwari West, Mumbai - 400102, Opposite Tech Web Centre",Verified
"Ansh Enterprises in Vasai East, Mumbai",5.0,1,"Ganesh Nagar Room No-213 Gidrai Pada, Sativail Road, Vasai East, Palghar - 401208, Tungareshwar Gate",Not Verified
"Yash Trimix in Kandivali West, Mumbai",2.5,2,"26, Sahayog Chawl, Bandar Pakhadi Road, Kandivali West, Mumbai - 400067, Dhanukar Wadi, Patil Nagar",Not Verified
"Bhakti Interior Decorator in Mira Bhayandar Road-Mira Road, Mumbai",4.8,174,"Shop No 04 Shrinath Bhakti Indarlok Phase 1, Indralok Phase 1, Mira Bhayandar Road-Mira Road, Thane - 401107, Opposite Jyoti Park",Not Verified
"Mukesh Electric And Hardware Stores in Vile Parle East, Mumbai",3.9,49,"Shop No 4, Shridhar Co Operative Housing Society, Hanuman Road, Vile Parle East, Mumbai - 400057, Opposite ICICI Bank",Verified
"Zen Pps in Mulund East, Mumbai",3.5,2,"D 2, Mulund panchratna CHSL, PLOT NO 26, Mhada colony,, Mulund East, Mumbai - 400081",Not Verified
"Danish Shaikh Asian Painter in Jogeshwari East, Mumbai",4.5,5,"4060 Income Tax Colony, Megh Wadi Road, Jogeshwari East, Mumbai - 400060, Opposite Swami Vivekanand High School",Not Verified
"Chauhan Interior & Decorator in Goregaon West, Mumbai",3.4,4,"Galaxy Heights Room No 398, Link Road, Goregaon West, Mumbai - 400104, Opp Kali Mandir",Not Verified
"Mohan Plumbing & Civil Works in Virar West, Mumbai",4.2,5,"Shop No 11 Star Stmphony, YK Nagar NX, Virar West, Palghar - 401302, Opp Expert International School",Not Verified
"Aapka Painter in Jogeshwari West, Mumbai",3.5,2,"Hindu Muslim Chawl, Anand Nagar, New Link Road, Jogeshwari West, Mumbai - 400102, Near Link Road",Not Verified
"Yash Trimix in Kandivali West, Mumbai",2.5,2,"26, Sahayog Chawl, Bandar Pakhadi Road, Kandivali West, Mumbai - 400067, Dhanukar Wadi, Patil Nagar",Not Verified
"Munna Plumber in Kamothe, Mumbai",3.0,17,"Shop No 01, Dharti Complex, Plot No 60/61, Sector 18, Kamothe, Navi Mumbai - 410206, Near Gokul Dairy",Not Verified
"Bhakti Interior Decorator in Mira Bhayandar Road-Mira Road, Mumbai",4.8,174,"Shop No 04 Shrinath Bhakti Indarlok Phase 1, Indralok Phase 1, Mira Bhayandar Road-Mira Road, Thane - 401107, Opposite Jyoti Park",Not Verified
"Shamrao Painting in Mankhurd, Mumbai",3.8,2,"Mohite Patil Nagar, A-Ward, Chawl No. 10&11, Panvel Link Road, Mankhurd, Mumbai - 400043",Not Verified
"Maintenance & Furniture Works in Kandivali East, Mumbai",3.5,2,"1/11,Nav Tarun Mitra Mandal, Akurli Road, Kandivali East, Mumbai - 400101, Near Hanuman Mandir",Not Verified
"Sun Painting Work in Nalasopara East, Mumbai",3.5,3,"Room No 209 Moreshwar Appartment A Wing, More Gaon, Nalasopara East, Palghar - 401209, Shiv Temple",Not Verified
