Name,Rating,Rating Count,Address,Verified
"R N Enterprises in Kalwa, Mumbai",3.5,2,"Room No 3255 Datta Mandir Chawl Shivshaktinagar., Kharegaon, Kalwa, Thane - 400605, Near Anand Vihar",Not Verified
"Khan Painting Contractor in Manpada-Thane West, Mumbai",3.5,3,"MANPADA, Ghodbunder Road, Manpada-Thane West, Thane - 400607, Near R Mall",Not Verified
"Smart Home Painter in Thane West, Mumbai",4.7,25,"Flat No 701, Green Square,, Ghodbunder Road, Thane West, Thane - 400607, Opposite Sanghvi Hills",Verified
"Sadguru Painting Work in Manpada-Thane West, Mumbai",4.8,2,"Durga Nagar Durga Chowk, G B Road, Manpada-Thane West, Thane - 400607, Near Hanuman Temple",Not Verified
"Shreyas Painting House in Mulund West, Mumbai",4.7,6,"Bhim Jyoti Society, ACC Road, Mulund West, Mumbai - 400080, Near Mulund Check Naka",Not Verified
"Creative Artss in Kalwa, Mumbai",4.6,11,"Aparnaraj Co Operative Housing Society, Gholai Nagar, Kalwa, Thane - 400605, Gholai Devi Temple",Not Verified
"Prem Enterprises in Vashi, Mumbai",3.6,52,"Maruti Smruti, Ground Floor,Room No.02,Plot No.40, Sector No 22, Vashi, Navi Mumbai - 400703, Behind Shikara Hotel",Not Verified
"Sunil Sawant Painting Polishing in Lokmanya Nagar-Thane West, Mumbai",5.0,2,"Lokmanya Nagar-Thane West, Thane - 400606, Near Bus Stop",Not Verified
"Jay Ambe Plumbing in Karvalo Nagar-thane West, Mumbai",2.6,14,"Shop No 1, Chourasiya Chawl, Savarkar Nagar Road, Karvalo Nagar-thane West, Thane - 400606, Near Chetan Apartment and Shivsena Shakha",Not Verified
"Sharma Furniture in Anand Nagar-Kasarvadavali, Mumbai",2.5,2,"Near Horizon School, Ghodbunder Road, Anand Nagar-Kasarvadavali, Thane - 400615, Opposite Vasant Garden, Near Horizon School",Not Verified
"Danish Shaikh Asian Painter in Jogeshwari East, Mumbai",4.5,5,"4060 Income Tax Colony, Megh Wadi Road, Jogeshwari East, Mumbai - 400060, Opposite Swami Vivekanand High School",Not Verified
"Super Sign Painter in Thane West, Mumbai",3.5,2,"Bhatia Compount Gate No 2, Old Agra Road, Thane West, Thane - 400602, Opp Satkar Hotel",Not Verified
"Hi Tech Coating in Dombivli East, Mumbai",4.5,11,"Ramai Homes 7, Dombivli East, Thane - 421203, Near Saibaba Mandir",Not Verified
"Ajay Civil & Painting Enterprises in Iit Powai, Mumbai",3.4,7,"1107, Satyame Jayte Society, K V Wagh Marg, Iit Powai, Mumbai - 400076, Near Jyotiba Phule Nagar",Not Verified
"Raju Furniture in Kandivali East, Mumbai",4.0,1,"Sangram Chawl, Gokul Nagar, Akruli Road, Kandivali East, Mumbai - 400101, Lokhandwala Foundation School",Not Verified
"Kitchen Gallery in Thane West, Mumbai",4.4,28,"Shop No 16, Castle Mill Naka, Lbs Road Castle Mill, Thane West, Thane - 400601, Opposite Tejadeep Mall",Not Verified
"A K Construction in Bhayandar East, Mumbai",3.5,1,"301, Khodiyar Darshan,, Bhayandar East, Thane - 401105, New Golden Nest Road",Not Verified
"As Interior And Furniture Works in Malad West, Mumbai",4.5,1,"Garib Nawaz Society, Azmi Nagar, Malvani Gate No 7, Malad West, Mumbai - 400095, St Matthew High School",Verified
"Sanjay Interiors in Dombivli East, Mumbai",5.0,2,"Om Residency A Wing 401 90ft Road Thakurali Dombivali, 90 Feet Road, Dombivli East, Thane - 421201, Near Chamunda Garden, Dombiwali East",Not Verified
"My Home Interior Decorator in Goregaon West, Mumbai",4.9,14,"Prem Nagar, Goregaon West, Mumbai - 400104, Ankur Billding",Not Verified
"Ashish Interior Decorator and Civil Contractor in Mulund West, Mumbai",5.0,4,"Shop No.12,Sunita Anand Palace, B.R. Road, Mulund West, Mumbai - 400080, Near Hardev Hospital",Not Verified
"Kohinoor Construction in Airoli, Mumbai",5.0,1,"Shiv Shakti Appt, Airoli, Navi Mumbai - 400708, Near Station Road",Not Verified
"Devkar Painters in Airoli, Mumbai",4.5,1,"Navjeevan Rehavshi Sangh  Room No E79, Sector 2, Airoli, Navi Mumbai - 400708, Behind Nayandeep School",Not Verified
"My Home Interior Decorator in Goregaon West, Mumbai",4.9,14,"Prem Nagar, Goregaon West, Mumbai - 400104, Ankur Billding",Not Verified
"Decor House in Manpada-Thane West, Mumbai",4.2,3,"House No-459,, Ganesh Church Road, Manpada-Thane West, Thane - 400607, Near-Sarvodya School",Not Verified
"Sonali Enterprises in Anand Nagar, Mumbai",4.5,1,"Shop No 9 A Wing, Shri Sadguru Heights, Near Shankar Mandir, Thane - 400605, Anand Nagar",Not Verified
"P Biswal Civil Plumbing Contractor in Thane East, Mumbai",4.9,35,"Room No 1, Kopri Colony, Thane East, Thane - 400603, Gandhi Nagar, Anand Nagar,Opposite Congress Office",Not Verified
"Kgn Civil Works in Malad West, Mumbai",5.0,1,"Shop No 132/6 Cts No 3237,Himli Chawl,, Azmi Nagar,Gate No 7, Malad West, Mumbai - 400095, Near Akashwani",Not Verified
"Faizan Interior Works in Kurla West, Mumbai",5.0,1,"Jagruti Chawl No 2, Ashok Nagar, LBS Road, Kurla West, Mumbai - 400070, Near Home Guard, Hill No 3",Not Verified
"Sony Furniture Works Expert Interior Decorator in Goregaon West, Mumbai",4.8,2,"Tarun Welfere Society, Shree Bhagwan Marg, Unnat Nagar Raod No 02, Goregaon West, Mumbai - 400104",Not Verified
"Sony Furniture Works Expert Interior Decorator in Goregaon West, Mumbai",4.8,2,"Tarun Welfere Society, Shree Bhagwan Marg, Unnat Nagar Raod No 02, Goregaon West, Mumbai - 400104",Not Verified
"Sandeep Home Interior in Kalyan East, Mumbai",5.0,10,"Shankar Yadav Chawl Room No 3, Puna Link Road, Kalyan East, Thane - 421306, Near Ram Leela Maidan",Not Verified
"Kgn Civil Works in Malad West, Mumbai",5.0,1,"Shop No 132/6 Cts No 3237,Himli Chawl,, Azmi Nagar,Gate No 7, Malad West, Mumbai - 400095, Near Akashwani",Not Verified
"Furniture Sense in Bandra East, Mumbai",3.5,2,"Machish Factory, Khedwadi Road, Bandra East, Mumbai - 400051, Ram Mandir",Not Verified
"Shree Shiddhi Enterprises in Badlapur, Mumbai",5.0,20,"F/5,OM PRATAMESH APT., Karjat Road, Badlapur, Thane - 421503, Near Meenatai Thackrey Garden Kulgaon",Not Verified
"Faizan Interior Works in Kurla West, Mumbai",5.0,1,"Jagruti Chawl No 2, Ashok Nagar, LBS Road, Kurla West, Mumbai - 400070, Near Home Guard, Hill No 3",Not Verified
"M K Tech Construction in Mulund West, Mumbai",3.8,13,"Office No 5, Indira Nagar No 1, J N Road, Mulund West, Mumbai - 400080, Near Sairaj Hotel",Verified
"Bhoomi Enterprise in Goregaon East, Mumbai",4.9,8,"Flat No 312, Building 17-A, Bimbisar Nagar, Goregaon East, Mumbai - 400065, Near Mahananda Dairy",Not Verified
"Halcyon Technologies in Thane West, Mumbai",3.0,2,"Shop No 3, Prachi Building, Ghodbunder Road, Thane West, Thane - 400601, Opposite Suraj Water Park, Waghbill",Not Verified
"Shamsuddin Shaikh in Worli Naka-worli, Mumbai",4.7,15,"Room No 524 Prem Nagar, B G Kher Marg, Worli Naka-worli, Mumbai - 400018, Near Shivsena Office",Not Verified
"D.M Decorators in Malad East, Mumbai",4.9,5,"Sugra Park, Pathanwadi, Sugra Park, Pathanwadi, Rani Sati Marg, Malad East, Mumbai - 400097, Near Hyaat Hospital",Not Verified
"Kanchandra Enterprises in Thane West, Mumbai",5.0,4,"Keni Nagar, Road No. 34 Office No 23, Thane West, Thane - 400604, Shiv Sai Mitra Mandal",Not Verified
"Afatab Alam Interior Contractor in Madanpura-Mumbai Central, Mumbai",3.5,2,"4th Floor, Room No. 24, Mumin Pura Vip Chawl, Maulana Azad Road, Madanpura-Mumbai Central, Mumbai - 400008, Near Maula High School",Not Verified
"Shree Interior Civil Contractor in Dombivli East, Mumbai",3.5,2,"A Wing 101 Shreeji Residency Chera Nagar Sagao, Manpada Road, Dombivli East, Thane - 421201, Near Jai Nharat English School",Not Verified
"Sumantu Interior in Andheri East, Mumbai",4.5,2,"Building Number 1, B-305, Koldongari Cooperative Housing Society, Sahara Road, Andheri East, Mumbai - 400099, Near Solitaire Hotel, Parsi Wada",Not Verified
"V S Waterproofing in Sewri, Mumbai",5.0,2,"Room No 69, 2nd Floor, Shah Nanji Ravji Building, Acharya Dhonde Marg, Sewri, Mumbai - 400015, Near Petrol Pump",Not Verified
"Sumit Sharma Interiors in Powai, Mumbai",3.5,2,"Sai Shraddha Building, 705, 17 B, Sangharsh Nagar, Powai, Mumbai - 400076",Not Verified
"Riyaz Enterprises in Kurla West, Mumbai",4.7,9,"71-A CST ROAD, KISMAT NAGAR KURLA WEST, Kurla Andheri Road, Kurla West, Mumbai - 400070, Kapadia Nagar",Not Verified
"Krishna Interior Decorator Works in Dharavi, Mumbai",5.0,2,"A-2,353 Gr Flr, Kasturi Chawl, Kumbharwada Road, Dharavi, Mumbai - 400017, Anna Nagar",Not Verified
"P Biswal Civil Plumbing Contractor in Thane East, Mumbai",4.9,35,"Room No 1, Kopri Colony, Thane East, Thane - 400603, Gandhi Nagar, Anand Nagar,Opposite Congress Office",Not Verified
"P Biswal Civil Plumbing Contractor in Thane East, Mumbai",4.9,35,"Room No 1, Kopri Colony, Thane East, Thane - 400603, Gandhi Nagar, Anand Nagar,Opposite Congress Office",Not Verified
"Veda Enterprises in Malad East, Mumbai",4.6,4,"Room No 241, Govind Nagar, Haji Bapu Road, Malad East, Mumbai - 400097, Behind BMC Hospital",Verified
"Unique Furniture. in Kasarvadavali, Mumbai",3.7,9,"Shop No 1, Vijay Garden, Ghodbunder Road, Kasarvadavali, Thane - 400615, Near Vijay Vilas",Not Verified
"N C Enterprises in Colaba, Mumbai",2.3,2,"Ground Floor Room No 676 Dr Babasaheb Ambedkar Nagar Colaba Cuff Pared  Near Police Station, Colaba, Mumbai - 400005",Not Verified
"Dream Interior in Kurla West, Mumbai",4.0,1,"Raghavji Pitamber Society, New Mill Road, Kurla West, Mumbai - 400070, Near Noor Hospital",Not Verified
"Lakshmi Plumbing & Construction in Bhandup West, Mumbai",3.5,2,"Kaillas Wadi Chawl No 2,, Room 20 Near Tembhi Pada Police Station, Bhandup West, Mumbai - 400078",Not Verified
"Sarfaraz Electrical Works in Malad West, Mumbai",4.0,4,"Budh Nagar, Marve Cross Road, Malwani, Mahakali Road, Malad West, Mumbai - 400095, Near Mahakali Bldg",Not Verified
"Roshni Enterprises in Ulhasnagar No 4, Mumbai",3.5,2,"Room No 3 Chawal No 4 Ganraj Colony, Ashelegaon, Ulhasnagar No 4, Thane - 421004, Near Anand Vidyalay",Not Verified
"Sumeet Enterprises in Kasarvadavali, Mumbai",5.0,1,"Azad Nagar, Manpada,, Godbunder Road,Thane, Kasarvadavali, Thane - 400615",Not Verified
"Kitchen Gallery in Thane West, Mumbai",4.4,28,"Shop No 16, Castle Mill Naka, Lbs Road Castle Mill, Thane West, Thane - 400601, Opposite Tejadeep Mall",Not Verified
"The Royal Contractors in Kopar Khairane, Mumbai",4.5,4,"Ashtavinayak CHS, Sector-17, Kopar Khairane, Navi Mumbai - 400709, Near Shivajirao Annasaheb Patil Udyan",Not Verified
"Better Living Furniture & Interior Contractors in Opposite RNA SHOPPING CENTER, Mumbai",4.0,4,"Shop No 1, Maharashtra Nagar, M.G Road, Mumbai - 400067, Opposite RNA SHOPPING CENTER",Not Verified
"Jeet Interiors in Mira Road, Mumbai",4.4,9,"Shop No 07, La Gardenia, Kanakia Road, Mira Road, Thane - 401107, Near Park View Hotel and Seven Eleven School, Unique Garden",Not Verified
