Name,Rating,Rating Count,Address,Verified
"Star One Pest Control Services in Thane West, Mumbai",4.0,132,"New Anand Park, Raghunath Nagar, Thane West, Thane - 400604, NeR Wagle Estate",Verified
"Super Max Pest Control in Malad West, Mumbai",3.4,2632,"7, B Wing,  New Green Apartment, Turel Pakhad 1 Road, Malad West, Mumbai - 400064, Near Ashirwad Hospital",Verified
"The Pest Hunter in Airoli, Mumbai",3.0,50,"Ishwar Nagar, Digha, Airoli, Navi Mumbai - 400708, Near Axis Bank",Not Verified
"New Natural Pest Control in ULWE SECTOR 23, Mumbai",4.8,2,"Nill Sagar Sec 23 Plot No 206 Shop No2, ULWE SECTOR 23, Navi Mumbai - 410206, Saraswat Bank",Not Verified
"Sterling Pest Control Services Pvt Ltd in Mulund West, Mumbai",4.5,95,"Aveor Galaxy, Lbs Road, Mulund West, Mumbai - 400080",Verified
"Integrity Pest Control Pvt Ltd in Mulund East, Mumbai",4.9,264,"Plot No 2 /14, Sudarshan Society, Mhada Colony, Mulund East, Mumbai - 400081, Near Eastern Express Highway",Verified
"Yash Pest Control Services in Thane West, Mumbai",3.3,10,"Flat No. 1, Kritika Chs, Majiwada, Thane West, Thane - 400608, Near Krishna Temple",Not Verified
"Citystar Pest Control Services in Wagle Industrial Estate-Thane West, Mumbai",3.4,11,"Shop No 11,Su - Keshav, Wagle Industrial Estate-Thane West, Thane - 400604, Shivaji Nagar, Opp Sai Hospital",Not Verified
"S R INDIA Company in Shree Nagar-Thane West, Mumbai",3.0,2,"B2/201,Ashar Estate, Road No 27, Shree Nagar-Thane West, Thane - 400604, Opp Rubber India Company",Not Verified
"Sai Pest Control in Wagle Industrial Estate-thane West, Mumbai",3.5,16,"Office No 12 RD No 22, Rd No 22 Circle, Wagle Industrial Estate-thane West, Thane - 400604, OPP Sbi Bank",Not Verified
"Unique Pest Services in Kalwa, Mumbai",4.8,3,"701,A 2, Shreejee Park, Kalwa, Thane - 400605, Near Parsik Nagar",Not Verified
"Parth Pest Management Services (Govt Approved) in Thane West, Mumbai",3.5,2,"Bldg No 06, Murlidhar A Bldg,, Road No 16, Kisan Nagar, Thane West, Thane - 400604, Wagle Estate",Not Verified
