Name,Rating,Rating Count,Address,Verified
"Kiah Unisex Salon in Mira Road, Mumbai",4.3,45,"Shop No. 08 Sheetal Swar Chs Ltd, Next to Sanman Hotel, Mira Road, Thane - 401107, Sheetal Nagar",Verified
"AFM Salon & Academy in Mira Road, Mumbai",4.7,73,"Shop No 1 & 11, A-Wing, Mahadev Shree Queen's Park, Deepak Hospital Lane, Mira Road, Thane - 401107, Near Seven Square School",Not Verified
"Arfa Makeup Artist in Mira Road, Mumbai",3.9,8,"B /2 ,Unity Complex, Bharti Park, Mira Road, Thane - 401107, McDonald's",Not Verified
"Stylush Nx in Mira Road, Mumbai",4.5,29,"Shop No 6, Delta Garden, NH 8 Road Midc, Mira Road, Thane - 401107, Near Rto Towing Stand",Verified
"Zaras Salon & Spa in Mira Road, Mumbai",4.4,9,"Shop No 3, Mira Darshan Complex, MTNL Road, Mira Road, Thane - 401107, Opposite Jangid Tower, Near Jangid Circle",Not Verified
"Salon7 in Mira Road, Mumbai",4.9,11,"Shop No-26, Building No-7, 8 & 9, Poonam Estate, Cluster II, Mira Road, Thane - 401107, Near Surya Shopping Centre",Not Verified
"New Synks Salon in Mira Road, Mumbai",4.4,124,"D-90, Shanti Shopping Center, Station Road, Mira Road, Thane - 401107, Opposite Shanti Envlave",Not Verified
"H 2 T Salon and Spa in Mira Road, Mumbai",4.7,11,"Shop No 7, Jaiganaga Chs , Ever Sai Enclave, Mira Road, Thane - 401107, Near Wockhared Hospital ,Opp Sao Ashirwad Hospital",Not Verified
"Desire Salon and Academy in Mira Road, Mumbai",4.7,21,"Shop No.02 Gokul Village 3, Next to Dr. Suri Clinic, Mira Road, Thane - 401107, Shanti Park",Not Verified
"Angel Unisex Salon in Mira Road, Mumbai",4.8,11,"Shop No.1, Building.I-41/42, Poonam Sagar, Station Road, Mira Road, Thane - 401107, Near Parivaar Hotel",Not Verified
