Name,Rating,Rating Count,Address,Verified
"Dreams 29 Unique Family Salon in Manpada-Thane West, Mumbai",4.9,31,"Shop No.1,Shivsthan Apt, Ghodbunder Road, Manpada-Thane West, Thane - 400607, Opp Akansha Garden,Next Acme Zone Bldg",Not Verified
"Xperience Hair & Beauty Salon in Thane West, Mumbai",4.0,121,"Shop No 5,Block No 1,Hiranandani Meadows, Thane West, Thane - 400610, Near Vasant Vihar,Opposite Lokeshwar Temple",Not Verified
"He & She Beauty Salon in Thane West, Mumbai",4.5,151,"15/16 Ground Floor, High Street Mall, Thane West, Thane - 400601, Near Big Bazaar, Kapurbawdi Junction",Verified
"Kings and Queens (A Family Salon) in Vartak Nagar-thane West, Mumbai",4.2,6,"Shop No.10,Asiatic Arcade, Vartak Nagar-thane West, Thane - 400606, Oop Mitali Heights",Not Verified
"Rahul X Family Salon in Upvan, Mumbai",3.8,98,"Shop No.2, Rameshwar Co-Operative Housing Society Limited, Pokhran Road No.2, Upvan, Thane - 400606, Near Devdaya Nagar",Not Verified
"Snips Salon & Spa in Thane West, Mumbai",4.3,182,"Shp No 2, Anandi Bhuvan, Veer Savarkar Mrg, Thane West, Thane - 400601, Opp Maharashtra Vidyalaya",Not Verified
"Runway Family Spa &salon in Vasant Vihar-Thane West, Mumbai",4.9,23,"Shop No.2,Adarsh Blg, Pokhran Road No.2, Vasant Vihar-Thane West, Thane - 400610, Near The Kitchen Rastaurant",Not Verified
"Rk Rich Unisex Family Salon in Vasant Vihar-Thane West, Mumbai",4.9,37,"Shop No-17/Block No-1,Emerald Plaza, Pokhran Road No.2,Hira-nandani Medows, Vasant Vihar-Thane West, Thane - 400610, Near Anmol Chemist",Not Verified
"Easel Unisex Salon in Manpada-Thane West, Mumbai",3.9,60,"Shop No.B1&B2,Akansha Garden, Ghodbunder Road, Manpada-Thane West, Thane - 400607, Opposite Shubharambh Complex,Near Kherwa Circle",Not Verified
"La Mia Bella Family Salon in Sandoz Baug, Mumbai",4.9,37,"Shop No .3 , Elite Platina ,, Kolshet Road, Sandoz Baug, Thane - 400607, Near Everest World",Not Verified
"PISHAA Nail Lashes Spa & Panchkarma in Thane West, Mumbai",4.8,13,"Gala No P/12, 27 Acre Kothari Compound, Tikuji Ni Wadi Road, Hill Garden, Manpada, Thane, Thane West, Thane - 400610, Opp Rajdhani Food Corner",Not Verified
"Ravis The Family Salon in Savarkar Nagar-thane West, Mumbai",4.7,385,"Sai Prasad CHS Plot No 24/D-5, Savarkar Nagar, Savarkar Nagar-thane West, Thane - 400606, Near Veer Hospital",Not Verified
"Angels Salon & Aesthetic Clinic in Panch Pakhadi-Thane West, Mumbai",4.8,18,"Arun Bunglow, Cresent Society, Arun Vaidya Marg, Panch Pakhadi-Thane West, Thane - 400602, Near Kachrali Talao & Next to Utsav Hotel",Not Verified
"VLCC Salon Beauty and Hair in Thane West, Mumbai",4.5,245,"Shop No.11 and 12, Ground Floor, Rustomjee Azziano Building, Mumbai Nashik Highway, Thane West, Thane - 400601, Rustomjee Urbania, Saket Side,Majiwada",Not Verified
"Black & White Unisex Family Salon in Kolbad-Thane West, Mumbai",4.5,47,"Shop Number 3, Maheshwar Niketan ,, Kolbad-Thane West, Thane - 400601, Opposite Vishal Tower",Not Verified
"Aumento Unisex Salon & Spa in Thane West, Mumbai",4.8,62,"Shop No.2 Konark Tower, Ghantali Road, Thane West, Thane - 400602, Opposite Sai Baba Mandir",Verified
"Maples Salon & Spa (Unisex) in Opposite Gajanan Vadapav, Mumbai",5.0,21,"Shop. No.1, Meena Avenue,, Thane - 400602, Opposite Gajanan Vadapav",Verified
"B Square The Family Salon in Thane West, Mumbai",4.6,88,"Shopt No 2,Dhandurga Building, Thane Station Road, Thane West, Thane - 400601, Near Uthdeshwar Mandir and Uthalsar Naka",Verified
"Finishing Touch in Thane West, Mumbai",4.8,68,"201 Gajanan Commerical Complex, Datta Mandir Road, Thane West, Thane - 400601, Nerd CIDCO Bus Stop",Verified
"Lords and Ladys Hair Salon and Spa in Thane West, Mumbai",3.8,74,"Plot No 81, Shop No C-3/10793, LBS Road,Mulund Check Naka-mulund West, Thane West, Thane - 400604, Near Kashish Park and Wagle Industrial Estate",Not Verified
"Chetus Unisex Salon & Spa in Ramchandra Nagar-Thane West, Mumbai",4.8,114,"Shop No.2,Bhavesh, ESIC Hospital Road, Ramchandra Nagar-Thane West, Thane - 400604, Near Police Chowki",Not Verified
"Kanchan  Beauty Salon & Training Center in Thane West, Mumbai",4.9,11,"Gharakul Society Plot No 23/4, Yashodhan Nagar, Thane West, Thane - 400606, Near Veer Hospital Opp",Not Verified
"The V Point Family Salon &Beauty Spa in Thane West, Mumbai",4.5,28,"Shop No 3 Yamuna Apartment, Raghunath Nagar, Thane West, Thane - 400604, Near Horse Tabela",Not Verified
"Shaurozz Salon in Thane West, Mumbai",5.0,8,"Shop No 4&5, Ravi Compund, Mahavir Housing Society, Thane West, Thane - 400602, Opposite to Monalisa Building",Verified
"La Radiance Hair And Beauty Salon in Thane West, Mumbai",3.7,12,"Shop No 32, Ground Floor , Boulvard Mall, Majiwada, Thane West, Thane - 400607, Near Lodha Paradise",Not Verified
"Radiaance The Family Salon in Samata Nagar-Thane West, Mumbai",4.9,40,"Shop No 7,Aradia Apartment, Kusumargraj Marg, Samata Nagar-Thane West, Thane - 400606, Opposite Kailash Park",Not Verified
"Razors And Scissors Parlour in Thane West, Mumbai",3.5,2,"Shop No 71, Manorama Nagar, Dhokali Kolshet Road, Thane West, Thane - 400607, Sambhaji Nagar, Behind R Mall",Not Verified
"Aanoj S Unisex Salon in Samata Nagar-thane West, Mumbai",3.8,54,"Shop No 11,12 , Aradia Apartment, Ramchandra Nagar Road, Samata Nagar-thane West, Thane - 400606, Opposite Raymond Company",Not Verified
"Nitins Salon Unisex in Samata Nagar-Thane West, Mumbai",4.4,306,"Shop No.39, Bldg No. 15, Pokhran Road No.1, Samata Nagar-Thane West, Thane - 400606, Opposite Raymond Company",Not Verified
"Salon 23 in Thane West, Mumbai",4.7,24,"Shop No.5,Vardhaman Tower, Gurudwara Service Road, Thane West, Thane - 400602, Opp,Dnyansadhana College,Near Teen Hath Naka",Verified
"Salon 23 in Thane West, Mumbai",4.7,24,"Shop No.5,Vardhaman Tower, Gurudwara Service Road, Thane West, Thane - 400602, Opp,Dnyansadhana College,Near Teen Hath Naka",Verified
"Beauty Art Salon N Spa in Thane West, Mumbai",3.8,6,"Sambhaji Sadan, B Cabin Road, Thane West, Thane - 400601, Near Railway Colony, Shivaji Nagar",Not Verified
"Fusion Hair & Skin in Thane West, Mumbai",4.7,53,"Shop No.1 Kavita Apartments Krishna Tower, Khopat Road, Thane West, Thane - 400601, Pratap Cinema",Not Verified
"Shagun Beauty Parlour in Thane West, Mumbai",4.4,10,"Shop No C 4, Vijay Appartment,, Kisan Nagar No 01,, Thane West, Thane - 400604, Opposite Lav Kush Appartment,",Not Verified
"Rouger Ladies Beauty Salon & Spa in Thane West, Mumbai",4.8,2,"Shop No 15, Ground Floor, Ashar Infinity, Ashar Complex, Pokharan Road No 2, Thane West, Thane - 400601, Near Reliance Mart, Near Prashant Corner",Not Verified
"Beauty Town Aesthetic Clinic & Salon in Thane West, Mumbai",4.8,4,"Shop No. 3 Dom-Marian Co Oporative Housing Society, B.P Road, Thane West, Thane - 400601, Rajan Vichare Office",Not Verified
"New Looks Family Salon in Thane West, Mumbai",4.3,16,"Shop No 7, C Wing Eris Building, Lodha Paradise, Nashik Highway, Thane West, Thane - 400601, Near Lodha World School",Not Verified
"Bfab Salon in Thane West, Mumbai",4.2,103,"Shop No 10, Elite Building, Thane West, Thane - 400610, Opposite Sindhanchal Phase 2",Not Verified
"Kapils Salon (Viviana Mall) in Thane West, Mumbai",4.5,4467,"SF -24, 2nd Floor, Viviana City Mall, Eastern Express Highway, Thane West, Thane - 400601, Next to Jupiter Hospital",Verified
"Kapils Salon in Thane West, Mumbai",4.7,3738,"Ground Floor, Hypercity, Big Thane Shopping Centre, Ghodbunder Road, Thane West, Thane - 400601, Kasarvadiawali Gaon",Verified
"Estique Salon Spa Nail Bar & Skin Clinic in Panch Pakhadi-Thane West, Mumbai",4.8,1392,"Shop No 2, Jeevantara Building, Madanlal Dingra Road, Panch Pakhadi-Thane West, Thane - 400602, Ahead Of  Talwalkars Gym,And Next to Ramanlal Sweets",Verified
"Envi Salon & Spa (Viviana Mall) in Thane West, Mumbai",4.3,1225,"Gf 10, Ground Floor, Viviana Mall, Eastern Express Highway, Thane West, Thane - 400602",Verified
"Enrich Salon (Viviana Mall) in Thane West, Mumbai",4.1,931,"Ground Floor, Viviana Mall, Eastern Express Highway, Thane West, Thane - 400610, Next to Jupiter Hospital",Verified
"Envi Salon & Spa in Thane West, Mumbai",4.3,759,"Ug - 18, Korum Mall, Mangal Pandey Road, Thane West, Thane - 400601, Cadbury Compound, Opposite Eastern Express Highway",Verified
"Sarlas Spa & Salon in Naupada-Thane West, Mumbai",4.1,675,"Saraswati Niwas, M Karve Road, Ram Maruti Road, 4th Cross Lane, Naupada-Thane West, Thane - 400602, Behind New English High School",Verified
"Enrich Salon in Thane West, Mumbai",4.0,671,"Shop No 7 & 8, Ground Floor,Block 1 , Emerald Plaza Co-Op HSG Soc Ltd, Hiranandani Meadows, Thane West, Thane - 400601",Verified
"VLCC Health Care Ltd in Manpada-thane West, Mumbai",4.2,557,"1st Floor, Cosmos Mart, Cosmos Heritage, Manpada-thane West, Thane - 400607, Above Rude Lounge, Near Happy Valleyppy Valley, Off Tikuji Ni Wadi, Above Foodland",Not Verified
"Lakme Salon in Vasant Vihar-thane West, Mumbai",4.4,532,"Shop No 1 & 2, Siddhanchal Building No 3, Pokhran Road No 2, Vasant Vihar-thane West, Thane - 400610, Opposite Vasant Vihar High School, Phase 8",Verified
"Enrich Salon in Hiranandani Estate-thane West, Mumbai",4.6,520,"S 107, The Walk, Hiranandani Estate Road, Hiranandani Estate-thane West, Thane - 400607",Not Verified
