Name,Rating,Rating Count,Address,Verified
"Time Machine Beauty Solutions Private Limited in Vashi, Mumbai",3.9,12,"Shop No 104, 1st Floor Plot No 17, Plam Beach Galleria, Sector No 19/D,, Vashi, Navi Mumbai - 400703, Near Inox Theatre",Verified
"Studio 13 Family Salon in Sanpada, Mumbai",4.1,178,"Shop No 25, Moraj Residency, Sector 16, Sanpada, Navi Mumbai - 400703, Next to Axis Bank",Not Verified
"Kapils Salon in Vashi, Mumbai",4.5,7432,"Shop No. 149-152, 2 ND Floor , Raghuleela Mall, Station Road, Vashi, Navi Mumbai - 400703, Opp Vashi Railway Station",Verified
"Femina Flaunt Studio Palm Beach Road in Sanpada, Mumbai",5.0,2,"Kshitij, Sector 19, Sanpada, Navi mumbai - 400705, Palm Beach Road",Not Verified
"Impression Salon Hair & Beauty in Vashi, Mumbai",4.5,38,"Shop No 10, Hermes Centre, Plot No 67, Sector 17, Vashi, Navi Mumbai - 400703, Near Mangaldeep Showroom",Not Verified
"Kapils Salon in Vashi, Mumbai",4.5,7432,"Shop No 149 to 152, 2nd Floor Raghuleela Mall, Vashi, Navi Mumbai - 400703, Opp Vashi Railway Station",Verified
"Leenas Beauty And Hair Studio in Vashi, Mumbai",3.8,144,"Office No 208 2nd Floor Satra Plaza, Sector 19 D, Vashi, Navi Mumbai - 400703, Above Mercedes Benz",Verified
"Scissors Noise The Family Salon in Vashi, Mumbai",4.6,625,"Shop No 226 & 227, Ground Floor, Raghuleela Mall,, Sector 30 A, Vashi, Navi Mumbai - 400703, Near Mall Exit",Not Verified
"Kapils Salon (Raghuleela Mall) in Vashi, Mumbai",4.5,7432,"1st Floor, 215 to 217, Raghuleela Mall, Vashi, Navi Mumbai - 400703, Opposite Ashi Railway Station",Verified
"Enrich Salon in Vashi, Mumbai",4.1,1251,"Shop No 32, 33 & 35, Ground Floor, Chhada Cresent Co Op Housing Society Ltd, Plot No 46/55, Vashi, Navi Mumbai - 400703, Sector 17",Verified
"Juice Salon (Inorbit Mall) in Vashi Sector 30a, Mumbai",4.0,907,"C/o Inorbit Mall,Shop No G 19, Vashi Sector 30a, Navi Mumbai - 400703, Next to Station",Verified
"Envi Salon & Spa in Sanpada, Mumbai",4.1,854,"G-34 Inorbit Mall, Ground Floor, Sector - 30, Sanpada, Navi Mumbai - 400703, Nr Vashi Station",Verified
"VLCC Healthcare Ltd in Vashi, Mumbai",3.9,711,"Plot No 41, Palm Beach Road, Vashi, Navi Mumbai - 400703, Near Fortune Hotel, Near Palm Beach Galleria Mall, Sector 19 E",Not Verified
"Scissors Noise The Family Salon in Vashi Sector 30a, Mumbai",4.6,625,"Shop No-191-193, First Floor, Raghuleela Mall, Vashi, Vashi Sector 30a, Navi Mumbai - 400703, Near Vashi Railway Station",Not Verified
"Peacock Salon in Vashi, Mumbai",4.0,504,"Shop No-26-28, Bawa Tower(Big Splash), Sector-17, Vashi, Navi Mumbai - 400703, Near Navratna Hotel",Not Verified
"Budget Beauty (Raghuleela Mall) in Vashi, Mumbai",3.9,450,"Raghuleela Mall, Ground Floor ,Kiosk, Vashi, Navi Mumbai - 400703, Opp. Vashi Railway Station, Sector 30A",Verified
"Hype Tattooz Studio in Vashi, Mumbai",4.9,417,"Vashi, Navi Mumbai - 400703, Opp Railway Station",Verified
"HASHTAG Salon in Vashi, Mumbai",4.9,347,"Shop No 11, MIid Land Chs,, Sector 09, Vashi, Navi Mumbai - 400703, Near Jain Mandir",Verified
"Time Machine Salon And Academy in Vashi, Mumbai",4.5,338,"Shop No 35, Bombay Annexe, Sector 17, Vashi, Navi Mumbai - 400703, Near Mcdonalds",Verified
"Dhruva Spa & Salon in Vashi, Mumbai",4.3,282,"Shop No F-19, Building No F 1, Ground Floor, Sector 4 & 5, Vashi, Navi Mumbai - 400703, Behind Ramdev Hotel",Not Verified
"Lakme Salon in Vashi, Mumbai",3.6,237,"Shop No 9 & 10, Midland Building, Sector 09, Vashi, Navi Mumbai - 400703, Opposite Jain Temple, Near Vashi Depot",Not Verified
"Tattoozzz (Raghuleela Mall) in Vashi, Mumbai",4.9,235,"Shop No.188,Raghuleela Mall, Sector 30 A, Vashi, Navi Mumbai - 400703, Opposite Vashi Railway Station",Not Verified
