Name,Rating,Rating Count,Address,Verified
"Lick Spa in Vashi, Mumbai",4.2,23,"Sector 11, Vashi, Navi Mumbai - 400703, Juhu Gaon, Opposite Gaondevi Mandir",Not Verified
"A To Z Massage Services in Vashi, Mumbai",4.0,23,"Room No 201 Evershine Chs, Sector No 9 & 10, Vashi, Navi Mumbai - 400703, Near Cine Max",Not Verified
"Adult Spa For Women in Vashi Sector 17, Mumbai",4.5,11,"D6 1/1, Vashi Sector 17, Navi Mumbai - 400703",Not Verified
"Neha Spa & Salon in Mankhurd, Mumbai",4.2,7,"Room No A-7, Jai Jagdambe Chawl, Ghatkopar Mankhurd LInk Road, Virmata Jijabai Bhosale Marg, Mankhurd, Mumbai - 400703, Anna Bhau Sathe Nagar, Shivaji Nagar",Not Verified
"Book Deft in Indira Nagar-Turbhe, Mumbai",5.0,2,"Office Number 501 Everest Nivara, Infoteck Park, Indira Nagar-Turbhe, Navi Mumbai - 400703, Everest Infoteck Park",Not Verified
"Royal Massage in Vashi, Mumbai",4.8,2,"Room No 101, 1st Floor A Wing, Vashi, Navi Mumbai - 400703, Sector No 11, Goan Devi Mandir",Not Verified
"Sunrise Spa in Vashi, Mumbai",4.8,2,"Office No 1711 Kesar Solitaire Plot No 88 Palm Beach Road Sanpada, Vashi, Navi Mumbai - 400703, Near Palm Beach Road",Not Verified
"Deepika Body Massage Services in Nerul, Mumbai",3.5,79,"Plot No. 362,, Sun Niwas,, Nerul, Navi Mumbai - 400706, Near KFC, Opposite D Y Patil College",Not Verified
"Rkb Fitness in Nerul, Mumbai",3.9,67,"Sector 18a, Nerul West, Manoj Saverkar Marg, Nerul, Navi Mumbai - 400706, Daliy Need Mall",Not Verified
"Jully Spa in Kopar Khairane, Mumbai",3.8,32,"Plot No 152, Sector 19, Kopar Khairane, Navi Mumbai - 400709, Near Mseb Office",Not Verified
"Seema Beauty Parlour Service At Home in Nerul, Mumbai",3.5,3,"63, Jagruti Appt ,Plot No.13, Sector No 10, Nerul, Navi Mumbai - 400706, Near Sarkar Bazaar",Not Verified
"Agama Massage in Seawoods, Mumbai",4.1,14,"Flat No B/401, Shreeji Darshan, Plot No 48, Sector No 40, Seawoods, Navi Mumbai - 400706",Not Verified
"Beyond Salon.in in Chembur East, Mumbai",4.8,2,"Bld No 4. Room No 5. B M C Colony., P L. Lokhande Road. Dr Ambedkar Nagar, Chembur East, Mumbai - 400088, Thane",Verified
"Maitreya Spa in Cbd Belapur, Mumbai",5.0,1,"Cbd Belapur, Navi Mumbai - 400614, National Institute For Mentally Handicapped",Not Verified
"Shree Mauli Upchar Kendra in Ghatkopar East, Mumbai",4.4,22,"105 / 977 RAMABAI NAGAR,, Ghatkopar East, Mumbai - 400075",Not Verified
"Golden Bliss Thai Foot Spa in Kharghar, Mumbai",4.2,57,"24/ 25, 2nd Floor, Crystal Plaza, Sector 7, Kharghar, Navi Mumbai - 410210, Near Three Star Hotel",Not Verified
"Dulhan Store in Kharghar, Mumbai",4.0,10,"Shop No 3,Sakal CHS Plot No E-148, Sector-12, Kharghar, Navi Mumbai - 410210, Near Kendriya Vihar",Verified
"Lotus Professional Salon For Men in Gangawadi-Ghatkopar West, Mumbai",4.5,5,"Shop No 2, Seiours Signal, Andheri New Road, Gangawadi-Ghatkopar West, Mumbai - 400086, Near Deepa Restaurant",Not Verified
"Komal Patel in Kharghar, Mumbai",3.7,3,"Kharghar, Navi Mumbai - 410210, Sector 6",Not Verified
"Body Spa in Cbd Belapur, Mumbai",3.2,3,"Cbd Belapur, Navi Mumbai - 400614",Not Verified
"Reflection Salon & Spa in Sakinaka, Mumbai",4.0,234,"506, Crystal Center, Raheja Vihar, Sakinaka, Mumbai - 400072, Chandivali",Not Verified
"My Home Wellness in Powai, Mumbai",4.8,105,"Shop O 207 Powai Plaza, Central Avenue, Powai, Mumbai - 400076, Hiranandani Garden",Not Verified
"Anjali Massage Service in Marol Naka-Andheri East, Mumbai",3.5,51,"Andheri West Sakinaka Housing Society. 11, Pipeline, Marol Naka-Andheri East, Mumbai - 400059, Panasula Hotel",Not Verified
"Riya Fitness Services in Andheri East, Mumbai",3.6,43,"Room No 24/ A, Mohini Co Operative Housing Society, Andheri Kurla Road, Andheri East, Mumbai - 400072, Near Marol Metro Station, Opposite International Airport",Not Verified
"B Oaks Health Spa in Mulund West, Mumbai",3.7,25,"Shop No-204, 2nd Floor, Neptune Uptown, N S Road, Mulund West, Mumbai - 400080, Above Reliance Trend",Not Verified
"Gokul Gupta in Sakinaka, Mumbai",4.1,18,"27, 1/2, Gupta Chawl, Saki Vihar Road, Sakinaka, Mumbai - 400072, Near Shivsena Office, Tunga Village, Powai",Not Verified
"Fitness Live Spa Solution in Chembur East, Mumbai",4.0,16,"362 Shiv Shakti Nagar, Collector Colony, Chembur East, Mumbai - 400074, Near VES Collage",Not Verified
"Welcome Body Massage Zone in Powai, Mumbai",3.7,12,"Room No 4, Hare Krishna Housing Society, Shivshakti Nagar, Saki Vihar Road, Powai, Mumbai - 400076, Near Ramada Powai",Not Verified
"The Home Salon in Andheri East, Mumbai",3.3,12,"C 2107, 2nd Floor, Oberoi Garden Estate, Andheri East, Mumbai - 400072, Near Chandivali Studio, Chandivali, Andheri East",Not Verified
"Pamper Salon At Home in Sakinaka, Mumbai",4.3,10,"B 1, 107, DSK Madhuban Building, Mehra Compound, Sakinaka, Mumbai - 400072, Safed Pul",Not Verified
"Priya Service in Sakinaka, Mumbai",4.3,9,"Room No 2/1 Veera Co-operative Housing Society, Saki Vihar Road, Sakinaka, Mumbai - 400072, Near International Airport And Opposite Leela Hotel",Not Verified
"Soft Hand Massage in Nitie, Mumbai",4.0,9,"S/O CHANDRAKANT SATAM, GANESH ROAD 1/1 SATAM CHAWL DONGRI PADA SAKI VIHAR ROAD, Nitie, Mumbai - 400087, Near Khau Galli",Not Verified
"Bombay Body Massage in Mumbra, Mumbai",4.3,6,"A Wing, Room No 007, Ground Floor, Asfi Chawl, Rashid Compound, Mumbra, Thane - 400612, Near V K Tower, Kausa",Not Verified
"Aziz Gazi in Vashi Naka-Chembur East, Mumbai",3.4,6,"Room No 664, Vishnu Nagar, L U Gadkari Marg, Vashi Naka-Chembur East, Mumbai - 400074, Near Sai Baba Mandir",Not Verified
"Sunny Body Massage in Chembur, Mumbai",3.0,6,"38-464 R C Barack Chembur Colony, Chembur, Mumbai - 400071",Not Verified
"Sangita in Powai, Mumbai",4.8,5,"Room No 1 Tara Bai Nagar Bhavar Niwas, Tunga Gaon S V Road Powai, Powai, Mumbai - 400076",Not Verified
"Feel Fresh Spa in Chandivali-Andheri East, Mumbai",4.0,4,"Chandivali, Farm Road, Chandivali-Andheri East, Mumbai - 400072, Powai",Not Verified
"Urban Oasis in Andheri East, Mumbai",3.8,4,"C/O Hotel Royal Park, Andheri Kurla Road, Andheri East, Mumbai - 400072, Opp Johnson & Johnson",Not Verified
"Ss Dance And Zumba (Kohinoor City Mall) in Kurla West, Mumbai",5.0,2,"F-99 1st Floor Kohinoor City Mall, Kurla West, Mumbai - 400070",Not Verified
"Nilesh Massage Therapy in Chandivali-Andheri East, Mumbai",3.5,2,"Nahar-Hiranandani, Farm Road, Chandivali-Andheri East, Mumbai - 400072",Not Verified
"Krish Spa in Powai, Mumbai",4.5,1,"D 304, Eros Mall, Powai, Mumbai - 400076, Near IIT Powai",Not Verified
"Cute & Style Saloon & Spa in Charai-thane West, Mumbai",3.7,81,"Shop Number 102 SaiKrupa Apartment, LLG Road, Charai-thane West, Thane - 400601, Near Avadh Radio Tembhi Naka",Not Verified
"Mumbai Wellness International in Andheri East, Mumbai",4.8,15,"Plot No 11, JB Nagar, A, JB Nagar, Andheri East, Mumbai - 400059, Near Bagadiya College",Not Verified
"Touch N Glow in Mahakali-Andheri East, Mumbai",4.1,98,"Plot No 127 Ground Floor Sheer Punjab Society, Prem Lane, Mahakali-Andheri East, Mumbai - 400093, Near Tolani College",Not Verified
"Anand Ranjane in Thane West, Mumbai",4.0,25,"Room No 3, Dattachayya Rahiwasi Sangh, Raje Shivaji Mahavidyalaya Road, Thane West, Thane - 400606, Near Lokmanya Nagar Pada No 4",Not Verified
